company,rank,revenue,sector,city,state
Walmart,1,559151,Retailing,Bentonville,AR
Amazon,2,386064,Retailing,Seattle,WA
Apple,3,274515,Technology,Cupertino,CA
Ashland,869,2377,Chemicals,Wilmington,DE
Beazer Homes USA,931,2127.1,Engineering & Construction,Atlanta,GA
BWX Technologies,932,2123.5,Aerospace & Defense,Lynchburg,VA
Chemed,944,2079.6,Health Care,Cincinnati,OH
Harsco,991,1874.1,Business Services,Camp Hill,PA
New Jersey Resources,972,1953.7,Energy,Wall,NJ
Dropbox,980,1913.9,Technology,San Francisco,CA
Aerojet Rocketdyne Holdings,945,2072.7,Aerospace & Defense,El Segundo,CA
HNI,971,1955.4,Household Products,Muscatine,IA
Sleep Number,998,1856.6,Retailing,Minneapolis,MN
Amedisys,939,2105.9,Health Care,Baton Rouge,LA
LHC Group,947,2063.2,Health Care,Lafayette,LA
Surgery Partners,996,1860.1,Health Care,Brentwood,TN
Spire,999,1855.4,Energy,St. Louis,MO
Woodward,842,2495.7,Aerospace & Defense,Fort Collins,CO
TTM Technologies,905,2249.3,Technology,Santa Ana,CA
Kar Auction Services,913,2187.7,Wholesalers,Carmel,IN
Kirby,920,2171.4,Transportation,Houston,TX
Clear Channel Outdoor Holdings,1000,1854.6,Business Services,San Antonio,TX
GEO Group,883,2350.1,Business Services,Boca Raton,FL
Viasat,892,2309.2,Technology,Carlsbad,CA
Benchmark Electronics,950,2053.1,Technology,Tempe,AZ
AvalonBay Communities,896,2301.3,Financials,Arlington,VA
TTEC Holdings,974,1949.2,Technology,Englewood,CO
E.W. Scripps,979,1915.1,Media,Cincinnati,OH
Entegris,997,1859.3,Technology,Billerica,MA
SBA Communications,942,2083.1,Financials,Boca Raton,FL
Murphy Oil,965,1971.4,Energy,Houston,TX
Cooper-Standard Holdings,870,2375.4,Motor Vehicles & Parts,Northville,MI
Valhi,989,1878.1,Chemicals,Dallas,TX
Stepan,992,1869.8,Chemicals,Northfield,IL
Acadia Healthcare,709,3209.7,Health Care,Franklin,TN
Alexandria Real Estate Equities,890,2315.1,Financials,Pasadena,CA
Ohio National Mutual,914,2181.8,Financials,Cincinnati,OH
Nordson,934,2121.1,Industrials,Westlake,OH
NewMarket,954,2010.9,Chemicals,Richmond,VA
REV Group,902,2277.6,Motor Vehicles & Parts,Brookfield,WI
Portland General Electric,926,2145,Energy,Portland,OR
Allison Transmission Holdings,943,2081,Motor Vehicles & Parts,Indianapolis,IN
Belden,964,1971.9,Industrials,St. Louis,MO
Gray Television,867,2381,Media,Atlanta,GA
SLM,879,2353.1,Financials,Newark,DE
Summit Materials,887,2332.5,Materials,Denver,CO
Affiliated Managers Group,951,2027.5,Financials,West Palm Beach,FL
Joann,791,2762.3,Retailing,Hudson,OH
Rollins,921,2161.2,Business Services,Atlanta,GA
Bruker,958,1987.5,Technology,Billerica,MA
DexCom,976,1926.7,Health Care,San Diego,CA
Equity Residential,824,2571.7,Financials,Chicago,IL
MillerKnoll,843,2486.6,Household Products,Zeeland,MI
Knights of Columbus,878,2353.3,Financials,New Haven,CT
Griffon,858,2407.5,Materials,New York,NY
Curtiss-Wright,863,2391.3,Industrials,Davidson,NC
MYR Group,906,2247.4,Engineering & Construction,Henderson,CO
Deckers Outdoor,929,2132.7,Apparel,Goleta,CA
NortonLifeLock,631,3858,Technology,Tempe,AZ
ManTech International,835,2518.4,Technology,Herndon,VA
BrightView Holdings,884,2346,Business Services,Blue Bell,PA
Steelcase,645,3723.7,Household Products,Grand Rapids,MI
Playtika Holding,872,2371.5,Media,Henderson,NV
F5,882,2350.8,Technology,Seattle,WA
Guess,990,1876.5,Retailing,Los Angeles,CA
Ensign Group,859,2402.6,Health Care,San Juan Capistrano,CA
Federated Mutual Insurance,897,2290.2,Financials,Owatonna,MN
Maxim Integrated Products,912,2191.4,Technology,San Jose,CA
Stericycle,806,2675.5,Business Services,Bannockburn,IL
MRC Global,826,2560,Energy,Houston,TX
PROG Holdings,846,2484.6,Financials,Draper,UT
Splunk,908,2229.4,Technology,San Francisco,CA
Copart,910,2205.6,Retailing,Dallas,TX
McAfee,764,2906,Technology,San Jose,CA
Nu Skin Enterprises,820,2581.9,Household Products,Provo,UT
Primerica,909,2217.5,Financials,Duluth,GA
SkyWest,930,2127.1,Transportation,St. George,UT
Americold Realty Trust,957,1987.7,Financials,Atlanta,GA
Brookdale Senior Living,665,3540.2,Health Care,Brentwood,TN
Popular,815,2603.9,Financials,Hato Rey,PR
Werner Enterprises,871,2372.2,Transportation,Omaha,NE
IDEX,881,2351.6,Industrials,Northbrook,IL
Overstock.com,827,2549.8,Retailing,Midvale,UT
Visteon,828,2548,Motor Vehicles & Parts,Van Buren Township,MI
ITT,849,2477.8,Industrials,White Plains,NY
FTI Consulting,852,2461.3,Business Services,Washington,DC
G-III Apparel Group,949,2055.1,Apparel,New York,NY
Amica Mutual Insurance,793,2728,Financials,Lincoln,RI
Waters,874,2365.4,Technology,Milford,MA
Hovnanian Enterprises,885,2343.9,Engineering & Construction,Matawan,NJ
Caleres,935,2117.1,Retailing,St. Louis,MO
Virtu Financial,704,3239.3,Financials,New York,NY
ATI,749,2982.1,Materials,Pittsburgh,PA
Teleflex,832,2537.2,Health Care,Wayne,PA
Cracker Barrel Old Country Store,833,2522.8,"Hotels, Restaurants & Leisure",Lebanon,TN
Zynga,963,1974.8,Media,San Francisco,CA
Univision Communciations,830,2541.9,Media,New York,NY
Fleetcor Technologies,865,2388.9,Business Services,Atlanta,GA
West Pharmaceutical Services,925,2146.9,Health Care,Exton,PA
Green Plains,977,1923.7,Energy,Omaha,NE
Moog,771,2884.6,Aerospace & Defense,East Aurora,NY
Donaldson,821,2581.8,Industrials,Minneapolis,MN
Hawaiian Electric Industries,822,2579.8,Energy,Honolulu,HI
Hillenbrand,836,2517,Industrials,Batesville,IN
Five Below,969,1962.1,Retailing,Philadelphia,PA
Western Midstream Partners,789,2772.6,Energy,The Woodlands,TX
Boston Properties,790,2765.7,Financials,Boston,MA
PC Connection,817,2590.3,Wholesalers,Merrimack,NH
Magellan Midstream Partners,855,2427.8,Energy,Tulsa,OK
Bio-Rad Laboratories,829,2545.6,Technology,Hercules,CA
Cooper Cos.,853,2430.9,Health Care,San Ramon,CA
Envista Holdings,900,2282,Health Care,Brea,CA
Newmark Group,983,1905,Financials,New York,NY
First Solar,798,2711.3,Energy,Tempe,AZ
Interactive Brokers Group,848,2479,Financials,Greenwich,CT
Cheesecake Factory,959,1983.2,"Hotels, Restaurants & Leisure",Calabasas Hills,CA
Range Resources,966,1968.7,Energy,Fort Worth,TX
UWM Holdings,529,4938.6,Financials,Pontiac,MI
Quad/Graphics,746,3009,Media,Sussex,WI
Zions Bancorp.,754,2942,Financials,Salt Lake City,UT
MKS Instruments,888,2330,Technology,Andover,MA
Arista Networks,889,2317.5,Technology,Santa Clara,CA
EnerSys,731,3087.9,Industrials,Reading,PA
Avaya Holdings,774,2873,Technology,Durham,NC
Incyte,807,2666.7,Health Care,Wilmington,DE
Match Group,864,2391.3,Technology,Dallas,TX
Valvoline,880,2353,Chemicals,Lexington,KY
Spectrum Brands Holdings,621,3964.2,Household Products,Middleton,WI
TEGNA,756,2937.8,Media,Tysons,VA
Vontier,801,2704.6,Technology,Raleigh,NC
