company,rank,revenue,state
"Scripps Networks Interactive, Inc.",992,1564.0,OH
DPL Inc.,979,1588.9,OH
"Retail Ventures, Inc.",972,1611.5,OH
Ferro Corporation,949,1657.6,OH
Invacare Corporation,937,1693.1,OH
American Greetings Corporation,938,1690.7,OH
Teradata Corporation,932,1709.0,OH
Mettler-Toledo International Inc.,921,1728.9,OH
"Lincoln Electric Holdings, Inc.",920,1729.3,OH
"Bob Evans Farms, Inc.",916,1750.5,OH
"Applied Industrial Technologies, Inc.",859,1923.1,OH
"Jo-Ann Stores, Inc.",836,1990.7,OH
PolyOne Corporation,811,2060.7,OH
Medical Mutual of Ohio,765,2283.4,OH
"NACCO Industries, Inc.",754,2328.4,OH
Cliffs Natural Resources Inc.,750,2342.0,OH
"Worthington Industries, Inc.",704,2631.3,OH
"Diebold, Incorporated",688,2741.5,OH
Cooper Tire &amp; Rubber Company,678,2779.0,OH
"Greif, Inc.",673,2792.2,OH
Convergys Corporation,666,2827.2,OH
Abercrombie &amp; Fitch Co.,651,2977.0,OH
"Aleris International, Inc.",646,2996.7,OH
"The Andersons, Inc.",640,3025.3,OH
NewPage Holding Corporation,625,3106.0,OH
Scotts Miracle-Gro Co.,617,3141.5,OH
Huntington Bancshares Incorporated,597,3243.8,OH
"RPM International, Inc.",577,3368.2,OH
"Chiquita Brands International, Inc.",568,3470.4,OH
The Timken Company,562,3548.4,OH
The J.M. Smucker Company,540,3757.9,OH
Cintas Corp.,536,3774.7,OH
Cincinnati Financial Corporation,522,3903.0,OH
"Hexion Specialty Chemicals, Inc.",513,4030.0,OH
AK Steel Holding Corporation,510,4076.8,OH
"American Financial Group, Inc.",478,4320.6,OH
The Lubrizol Corporation,453,4586.3,OH
TravelCenters of America LLC,440,4699.8,OH
"Big Lots, Inc.",436,4726.8,OH
Owens Corning,432,4803.0,OH
Western &amp; Southern Mutual Holding Company,420,5014.4,OH
Dana Holding Corporation,398,5228.0,OH
KeyCorp,356,6068.0,OH
"Owens-Illinois, Inc.",322,7066.5,OH
The Sherwin-Williams Company,319,7094.2,OH
"Limited Brands, Inc.",269,8632.5,OH
Fifth Third Bancorp,248,9450.0,OH
Parker-Hannifin Corporation,230,10309.0,OH
Eaton Corporation,194,11873.0,OH
FirstEnergy Corp.,179,12967.0,OH
"American Electric Power Company, Inc.",172,13489.0,OH
The Progressive Corporation,161,14563.6,OH
The Goodyear Tire &amp; Rubber Company,141,16301.0,OH
Nationwide Mutual Insurance Co.,118,20751.0,OH
"Macy's, Inc.",103,23489.0,OH
The Procter &amp; Gamble Company,22,79697.0,OH
The Kroger Company,23,76733.2,OH
"Cardinal Health, Inc.",17,99612.9,OH
