company,rank,revenue,sector,city,state
Briggs &amp; Stratton,1000,1895,Industrials,Wauwatosa,WI
Wendy's,999,1896,"Hotels, Restaurants & Leisure",Dublin,OH
DCP Midstream Partners,997,1898,Energy,Denver,CO
eBay,300,9496,Technology,San Jose,CA
CST Brands,299,9499,Retailing,San Antonio,TX
Ally Financial,298,9539,Financials,Detroit,MI
Sonic Automotive,297,9624,Retailing,Charlotte,NC
Eastman Chemical,296,9648,Chemicals,Kingsport,TN
Applied Materials,295,9659,Technology,Santa Clara,CA
MasterCard,294,9667,Business Services,Purchase,NY
Advance Auto Parts,293,9737,Retailing,Roanoke,VA
Charter Communications,292,9754,Telecommunications,Stamford,CT
Owens &amp; Minor,291,9773,Health Care,Mechanicsville,VA
Universal Health Services,290,9785,Health Care,King of Prussia,PA
Western Refining,289,9787,Energy,El Paso,TX
Air Products &amp; Chemicals,288,9895,Chemicals,Allentown,PA
Stryker,287,9946,Health Care,Kalamazoo,MI
Baxter International,286,9968,Health Care,Deerfield,IL
W.W. Grainger,285,9973,Wholesalers,Lake Forest,IL
Liberty Interactive,284,9989,Technology,Englewood,CO
Discover Financial Services,283,10002,Financials,Riverwoods,IL
Precision Castparts,282,10056,Aerospace & Defense,Portland,OR
Navistar International,281,10140,Motor Vehicles & Parts,Lisle,IL
Costco,15,116199,Retailing,Issaquah,WA
Chevron,14,131118,Energy,San Ramon,CA
Verizon,13,131620,Telecommunications,New York,NY
AmerisourceBergen,12,135962,Health Care,Chesterbrook,PA
General Electric,11,140389,Industrials,Fairfield,CT
AT&amp;T,10,146801,Telecommunications,Dallas,TX
Ford Motor,9,149558,Motor Vehicles & Parts,Dearborn,MI
General Motors,8,152356,Motor Vehicles & Parts,Detroit,MI
CVS Health,7,153290,Food and Drug Stores,Woonsocket,RI
UnitedHealth Group,6,157107,Health Care,Minnetonka,MN
McKesson,5,181241,Health Care,San Francisco,CA
Berkshire Hathaway,4,210821,Financials,Omaha,NE
Apple,3,233715,Technology,Cupertino,CA
Exxon Mobil,2,246204,Energy,Irving,TX
Laboratory Corp. of America,325,8680,Health Care,Burlington,NC
Anadarko Petroleum,324,8698,Energy,The Woodlands,TX
Veritiv,323,8718,Wholesalers,Atlanta,GA
EOG Resources,322,8757,Energy,Houston,TX
Crown Holdings,321,8762,Materials,Philadelphia,PA
HD Supply Holdings,320,8779,Wholesalers,Atlanta,GA
Cameron International,319,8782,Energy,Houston,TX
Thrivent Financial for Lutherans,318,8789,Financials,Minneapolis,MN
Core-Mark Holding,317,8858,Wholesalers,South San Francisco,CA
Mosaic,316,8895,Chemicals,Plymouth,MN
Univar,315,8982,Wholesalers,Downers Grove,IL
Peter Kiewit Sons',314,8992,Engineering & Construction,Omaha,NE
Corning,313,9111,Technology,Corning,NY
Republic Services,312,9115,Business Services,Phoenix,AZ
Fidelity National Financial,311,9132,Financials,Jacksonville,FL
Autoliv,310,9170,Motor Vehicles & Parts,Auburn Hills,MI
MGM Resorts International,309,9190,"Hotels, Restaurants & Leisure",Las Vegas,NV
Priceline Group,308,9224,Technology,Norwalk,CT
PayPal Holdings,307,9248,Business Services,San Jose,CA
Genworth Financial,306,9249,Financials,Richmond,VA
Celgene,305,9256,Health Care,Summit,NJ
Hormel Foods,304,9264,"Food, Beverages & Tobacco",Austin,MN
Reliance Steel &amp; Aluminum,303,9351,Materials,Los Angeles,CA
