company,rank,revenue,sector,city,state
,803,2625.90,Business Services,Calabasas,CA
,1000,1848.40,Financials,Irvine,CA
,999,1849.30,Health Care,Mission Viejo,CA
,998,1851.10,Business Services,Irvine,CA
,997,1857.60,Health Care,Wilmington,MA
,996,1861.70,Wholesalers,Roswell,GA
,995,1866.10,Health Care,Bensalem,PA
,994,1867.10,Media,Chicago,IL
,993,1870.30,Retailing,Secaucus,NJ
,992,1871.00,Technology,San Jose,CA
,991,1874.10,Energy,Houston,TX
,990,1874.40,Retailing,Basking Ridge,NJ
,989,1877.20,Aerospace & Defense,El Segundo,CA
,988,1881.30,Financials,Daytona Beach,FL
,987,1906.30,Engineering & Construction,Daytona Beach,FL
,986,1907.00,Financials,Cincinnati,OH
,985,1907.20,"Hotels, Restaurants & Leisure",Broomfield,CO
,984,1916.00,Technology,Andover,MA
,983,1916.30,Engineering & Construction,Atlanta,GA
,982,1918.20,Industrials,Milwaukee,WI
,981,1918.20,Energy,Denver,CO
,980,1921.50,Energy,Houston,TX
,979,1925.00,Chemicals,Northfield,IL
,978,1927.00,Financials,Greenwich,CT
,977,1930.30,Energy,Overland Park,KS
,976,1931.90,Aerospace & Defense,Chantilly,VA
,975,1932.60,Materials,Denver,CO
,974,1933.00,Technology,Santa Clara,CA
,973,1933.80,Business Services,Chicago,IL
,972,1934.10,Retailing,Indianapolis,IN
,971,1939.40,Technology,Burlington,MA
,970,1943.00,Technology,San Jose,CA
,969,1943.10,Transportation,Chicago,IL
,968,1948.80,Household Products,Lake Zurich,IL
,967,1951.50,Industrials,Charlotte,NC
,966,1951.90,"Hotels, Restaurants & Leisure",Orlando,FL
,965,1955.70,Financials,Houston,TX
,964,1960.40,Chemicals,Houston,TX
,963,1962.00,Engineering & Construction,Columbus,OH
,962,1965.60,Media,Shoreview,MN
,961,1969.10,Health Care,Westbrook,ME
,960,1973.30,Aerospace & Defense,Stamford,CT
,959,1980.00,Chemicals,Dallas,TX
,958,1985.90,Materials,New York,NY
,957,1988.50,Health Care,San Diego,CA
,956,2004.40,Aerospace & Defense,McLean,VA
,955,2005.30,Aerospace & Defense,Bellevue,WA
,954,2006.00,Energy,Los Angeles,CA
,953,2009.00,Energy,Portland,OR
,952,2018.20,Industrials,Liberty Lake,WA
,951,2022.40,Financials,Santa Clara,CA
,950,2028.40,Energy,Houston,TX
,949,2039.00,Technology,Englewood,CO
,948,2046.90,Transportation,Honolulu,HI
,947,2054.50,Household Products,Walnut Creek,CA
,946,2056.30,Materials,Cary,NC
,945,2056.60,Technology,San Rafael,CA
,944,2058.40,Industrials,Pittsburgh,PA
,943,2060.90,Wholesalers,Tustin,CA
,942,2063.50,Food & Drug Stores,Memphis,TN
,941,2066.00,Motor Vehicles & Parts,Livonia,MI
,940,2066.70,Health Care,San Diego,CA
,939,2067.00,Industrials,Westlake,OH
,938,2071.20,"Food, Beverages & Tobacco",Richmond,VA
,937,2072.20,Health Care,Brentwood,TN
,936,2075.40,Health Care,Somerset,NJ
,935,2081.90,Energy,Tulsa,OK
,934,2082.20,Transportation,Downers Grove,IL
,933,2084.00,Chemicals,Lexington,KY
,932,2090.00,Technology,Seattle,WA
,931,2098.70,Aerospace & Defense,Fort Collins,CO
,930,2100.20,Financials,Los Angeles,CA
,929,2116.70,Transportation,Omaha,NE
,928,2136.60,Technology,North Reading,MA
,927,2138.00,Retailing,Columbus,OH
,926,2139.00,Health Care,Pleasanton,CA
,925,2143.10,Technology,Pleasanton,CA
,924,2145.10,Financials,Hato Rey,PR
,923,2145.20,Business Services,Jersey City,NJ
,922,2146.30,Health Care,Wayne,PA
,921,2147.80,Motor Vehicles & Parts,Elkhart,IN
,920,2156.00,Technology,Dayton,OH
,919,2156.50,Transportation,Purchase,NY
,918,2158.20,Energy,Ames,IA
,917,2158.60,Financials,Arlington,VA
,916,2160.20,Health Care,Hercules,CA
,915,2169.20,Transportation,Lake Oswego,OR
,914,2171.90,Financials,Newton,MA
,913,2175.90,Household Products,Muscatine,IA
,912,2180.90,Financials,Owatonna,MN
,911,2193.40,Wholesalers,El Segundo,CA
,910,2194.10,Retailing,Commerce,CA
,909,2198.40,Chemicals,Richmond,VA
