company,rank,revenue,sector,city,state
"Ross Stores, Inc.",303,7866.10,Specialty Retailers: Apparel,Pleasanton,CA
"Crown Holdings, Inc.",301,7941.00,"Packaging, Containers",Philadelphia,PA
"Family Dollar Stores, Inc.",302,7867.00,General Merchandisers,Matthews,NC
The Sherwin-Williams Company,308,7776.40,Chemicals,Cleveland,OH
"Enbridge Energy Partners, L.P.",309,7736.10,Pipelines,Houston,TX
Global Partners LP,306,7801.60,Energy,Waltham,MA
"Henry Schein, Inc.",317,7526.80,Wholesalers: Health Care,Melville,NY
Boston Scientific Corporation,305,7806.00,Medical Products and Equipment,Natick,MA
"Bed Bath &amp; Beyond, Inc.",304,7828.80,Specialty Retailers: Other,Union,NJ
"Becton, Dickinson and Company",316,7540.10,Medical Products and Equipment,Franklin Lakes,NJ
Masco Corporation,314,7592.00,"Home Equipment, Furnishings",Taylor,MI
"Hertz Global Holdings, Inc.",315,7562.50,"Automotive Retailing, Services",Park Ridge,NJ
Ameren Corporation,313,7638.00,Utilities: Gas and Electric,St. Louis,MO
"CarMax, Inc.",311,7690.30,"Automotive Retailing, Services",Richmond,VA
Campbell Soup Company,312,7676.00,Food Consumer Products,Camden,NJ
V.F. Corporation,310,7702.60,Apparel,Greensboro,NC
OfficeMax Incorporated,330,7150.00,Specialty Retailers: Other,Naperville,IL
Visteon Corporation,319,7466.00,Motor Vehicles and Parts,Van Buren Township,MI
"Autoliv, Inc.",329,7170.60,Motor Vehicles and Parts,Auburn Hills,MI
Thrivent Financial for Lutherans,318,7470.50,"Insurance: Life, Health (Mutual)",Minneapolis,MN
"W.W. Grainger, Inc.",328,7182.20,Wholesalers: Diversified,Lake Forest,IL
Eastman Kodak Company,327,7187.00,"Scientific,Photographic and Control Equipment",Rochester,NY
Hormel Foods Corporation,325,7220.70,Food Consumer Products,Austin,MN
Fifth Third Bancorp,326,7218.00,Commercial Banks,Cincinnati,OH
"Winn-Dixie Stores, Inc.",324,7247.80,Food and Drug Stores,Jacksonville,FL
"AutoZone, Inc.",322,7362.60,Specialty Retailers: Other,Memphis,TN
Stryker Corporation,323,7320.00,Medical Products and Equipment,Kalamazoo,MI
Cablevision Systems Corporation,321,7362.90,Telecommunications,Bethpage,NY
"Darden Restaurants, Inc.",332,7113.10,Food Services,Orlando,FL
Dover Corporation,331,7142.00,Industrial Machinery,Downers Grove,IL
Quest Diagnostics Incorporated,320,7368.90,Health Care: Pharmacy and Other Services,Madison,NJ
SLM Corporation,344,6776.30,Diversified Financials,Newark,DE
Las Vegas Sands Corp.,342,6853.20,"Hotels, Casinos, Resorts",Las Vegas,NV
Broadcom Corporation,343,6818.30,Semiconductors and Other Electronic Components,Irvine,CA
AGCO Corporation,340,6896.60,Construction and Farm Machinery,Duluth,GA
"Dole Food Company, Inc.",341,6894.00,Food Consumer Products,Westlake Village,CA
Peabody Energy Corporation,338,6944.20,"Mining, Crude-Oil Production",St. Louis,MO
"Sonic Automotive, Inc.",339,6935.90,"Automotive Retailing, Services",Charlotte,NC
Goodrich Corporation,337,6966.90,Aerospace and Defense,Charlotte,NC
"Charter Communications, Inc.",333,7059.00,Telecommunications,St. Louis,MO
The Shaw Group Inc.,336,7000.80,"Engineering, Construction",Baton Rouge,LA
"Pepco Holdings, Inc.",335,7039.00,Utilities: Gas and Electric,Washington,DC
The Mosaic Company,346,6759.10,Chemicals,Plymouth,MN
"CenturyLink, Inc.",334,7041.50,Telecommunications,Monroe,LA
"Owens-Illinois, Inc.",345,6762.00,"Packaging, Containers",Perrysburg,OH
Weyerhaeuser Company,354,6552.00,Forest and Paper Products,Federal Way,WA
"Fortune Brands, Inc.",352,6570.50,"Home Equipment, Furnishings",Deerfield,IL
AECOM Technology Corporation,353,6559.40,"Engineering, Construction",Los Angeles,CA
Corning Incorporated,350,6632.00,Network and Other Communications Equipment,Corning,NY
"Energy Transfer Equity, L.P.",351,6598.10,Pipelines,Dallas,TX
Eastman Chemical Company,348,6691.00,Chemicals,Kingsport,TN
Calpine Corporation,349,6637.00,Energy,Houston,TX
"Coca-Cola Enterprises, Inc.",347,6714.00,Beverages,Atlanta,GA
"The Interpublic Group of Companies, Inc.",355,6531.90,"Advertising, marketing",New York,NY
Yahoo! Inc.,365,6324.70,Internet Services and Retailing,Sunnyvale,CA
"The Pantry, Inc.",363,6367.80,Specialty Retailers: Other,Cary,NC
"CIT Group, Inc.",364,6362.50,Commercial Banks,New York,NY
NiSource Inc.,362,6422.70,Utilities: Gas and Electric,Merrillville,IN
CMS Energy Corporation,360,6442.00,Utilities: Gas and Electric,Jackson,MI
Commercial Metals Company,361,6429.10,Metals,Irving,TX
DaVita Inc.,359,6447.40,Health Care: Medical Facilities,Denver,CO
American Family Ins. Group,358,6491.80,Insurance: Property and Casualty (Stock),Madison,WI
"Steel Dynamics, Inc.",368,6300.90,Metals,Fort Wayne,IN
"Advanced Micro Devices, Inc.",357,6494.00,Semiconductors and Other Electronic Components,Sunnyvale,CA
Avery Dennison Corporation,356,6512.70,Chemicals,Pasadena,CA
Reliance Steel &amp; Aluminum Co.,367,6312.80,Wholesalers: Diversified,Los Angeles,CA
Sanmina-SCI Corporation,366,6318.70,Semiconductors and Other Electronic Components,San Jose,CA
"EOG Resources, Inc.",377,6099.90,"Mining, Crude-Oil Production",Houston,TX
Cameron International Corporation,375,6134.80,"Oil and Gas Equipment, Services",Houston,TX
Dana Holding Corporation,376,6109.00,Motor Vehicles and Parts,Maumee,OH
MeadWestvaco Corporation,373,6168.00,"Packaging, Containers",Richmond,VA
Virgin Media Inc.,374,6138.20,Telecommunications,New York,NY
"The McGraw-Hill Companies, Inc.",372,6168.30,"Publishing, Printing",New York,NY
"Omnicare, Inc.",371,6199.50,Health Care: Pharmacy and Other Services,Covington,KY
AK Steel Holding Corporation,383,5968.30,Metals,West Chester,OH
Smurfit-Stone Container Corporation,369,6286.00,"Packaging, Containers",Chicago,IL
Symantec Corporation,382,5985.00,Computer Software,Mountain View,CA
Jarden Corporation,379,6022.70,"Home Equipment, Furnishings",Rye,NY
MGM Resorts International,380,6019.20,"Hotels, Casinos, Resorts",Las Vegas,NV
Ecolab Inc.,378,6089.70,Chemicals,St. Paul,MN
"Dillard&#8217;s, Inc.",370,6253.50,General Merchandisers,Little Rock,AR
"Spectrum Group International, Inc.",381,6012.40,zMiscellaneous,Irvine,CA
"Dollar Tree, Inc.",390,5882.40,Specialty Retailers: Other,Chesapeake,VA
"CC Media Holdings, Inc.",391,5865.70,Entertainment,San Antonio,TX
Celanese Corporation,388,5918.00,Chemicals,Dallas,TX
Frontier Oil Corporation,389,5884.90,Petroleum Refining,Houston,TX
"Advance Auto Parts, Inc.",387,5925.20,Specialty Retailers: Other,Roanoke,VA
Newell Rubbermaid Inc.,397,5759.20,"Home Equipment, Furnishings",Atlanta,GA
Tenneco Inc.,386,5937.00,Motor Vehicles and Parts,Lake Forest,IL
TravelCenters of America LLC,385,5962.50,Specialty Retailers: Other,Westlake,OH
AMERIGROUP Corporation,396,5806.30,Health Care: Insurance and Managed Care,Virginia Beach,VA
"Expeditors International of Washington, Inc.",384,5967.60,Transportation and Logistics,Seattle,WA
"Barnes &amp; Noble, Inc.",395,5810.60,Specialty Retailers: Other,New York,NY
Domtar Corporation,394,5850.00,Forest and Paper Products,Fort Mill,SC
"Mattel, Inc.",392,5856.20,"Toys, Sporting Goods",El Segundo,CA
"Franklin Resources, Inc.",393,5853.00,Securities,San Mateo,CA
Mutual of Omaha Insurance Companies,399,5724.20,"Insurance: Life, Health (Mutual)",Omaha,NE
"PetSmart, Inc.",400,5693.80,Specialty Retailers: Other,Phoenix,AZ
"Fidelity National Financial, Inc.",398,5740.30,Insurance: Property and Casualty (Stock),Jacksonville,FL
The Babcock &amp; Wilcox Company,710,2688.80,Industrial Machinery,Charlotte,NC
"Kindred Healthcare, Inc.",501,4373.20,Health Care: Medical Facilities,Louisville,KY
"Biomet, Inc.",708,2698.00,Medical Products and Equipment,Warsaw,IN
"Leap Wireless International, Inc.",709,2697.20,Telecommunications,San Diego,CA
Nicor Inc.,706,2709.80,Utilities: Gas and Electric,Naperville,IL
"WGL Holdings, Inc.",707,2708.90,Energy,Washington,DC
"C.R. Bard, Inc.",704,2720.20,Medical Products and Equipment,Murray Hill,NJ
"American Water Works Company, Inc.",705,2710.70,zMiscellaneous,Voorhees,NJ
"Vishay Intertechnology, Inc.",703,2725.10,Semiconductors and Other Electronic Components,Malvern,PA
"Rent-A-Center, Inc.",702,2731.60,Specialty Retailers: Other,Plano,TX
Exide Technologies,712,2685.80,Motor Vehicles and Parts,Milton,GA
"NACCO Industries, Inc.",711,2687.50,Construction and Farm Machinery,Cleveland,OH
"Legg Mason, Inc.",724,2634.90,Securities,Baltimore,MD
International Flavors &amp; Fragrances Inc.,725,2622.90,Chemicals,New York,NY
New Jersey Resources Corporation,722,2639.30,Energy,Wall,NJ
"Annaly Capital Management, Inc.",723,2634.90,Diversified Financials,New York,NY
SEACOR Holdings Inc.,720,2649.40,"Oil and Gas Equipment, Services",Fort Lauderdale,FL
Comerica Incorporated,721,2642.00,Commercial Banks,Dallas,TX
W.R. Grace &amp; Co.,714,2675.00,Chemicals,Columbia,MD
"Team Health Holdings, Inc.",715,2671.40,Health Care: Pharmacy and Other Services,Knoxville,TN
Snap-on Incorporated,713,2681.50,Industrial Machinery,Kenosha,WI
Cabela&#8217;s Incorporated,718,2663.20,Specialty Retailers: Other,Sidney,NE
"Republic Airways Holdings, Inc.",719,2653.70,Airlines,Indianapolis,IN
Pioneer Natural Resources Company,716,2668.00,"Mining, Crude-Oil Production",Irving,TX
"Hawaiian Electric Industries, Inc.",717,2665.00,Utilities: Gas and Electric,Honolulu,HI
PolyOne Corporation,726,2621.90,Chemicals,Avon Lake,OH
LSI Corporation,736,2570.00,Semiconductors and Other Electronic Components,Milpitas,CA
"Flowers Foods, Inc.",735,2573.80,Food Consumer Products,Thomasville,GA
"Momentive Performance Materials, Inc.",733,2588.40,Chemicals,Albany,NY
"Liz Claiborne, Inc.",734,2575.70,Apparel,New York,NY
Carlisle Companies Incorporated,731,2600.90,"Building Materials, Glass",Charlotte,NC
"Church &amp; Dwight Co., Inc.",732,2589.20,Household and Personal Products,Princeton,NJ
"Spartan Stores, Inc.",741,2552.00,Wholesalers: Food and Grocery,Grand Rapids,MI
ManTech International Corporation,730,2604.00,Information Technology Services,Fairfax,VA
Vulcan Materials Company,740,2558.90,"Building Materials, Glass",Birmingham,AL
