company,rank,revenue,sector,city,state
Carvana,1000,1955.5,Retailing,Tempe,AZ
ManTech International,999,1958.6,Technology,Herndon,VA
NuStar Energy,998,1961.8,Energy,San Antonio,TX
Shutterfly,997,1961.8,Technology,Redwood City,CA
Spire,996,1965.0,Energy,St. Louis,MO
Align Technology,995,1966.5,Health Care,San Jose,CA
Herc Holdings,993,1976.7,Business Services,Bonita Springs,FL
HC2 Holdings,993,1976.7,Engineering & Construction,New York,NY
Portland General Electric,992,1991.0,Energy,Portland,OR
Hovnanian Enterprises,991,1991.2,Engineering & Construction,Matawan,NJ
Stepan,990,1993.9,Chemicals,Northfield,IL
Deluxe,989,1998.0,Media,Shoreview,MN
Hilton Grand Vacations,988,1999.0,"Hotels, Restaurants & Leisure",Orlando,FL
NCI Building Systems,987,2000.6,Materials,Cary,NC
Alliance Resource Partners,986,2002.9,Energy,Tulsa,OK
Healthcare Services Group,985,2008.8,Health Care,Bensalem,PA
Tribune Media,984,2009.7,Media,Chicago,IL
Vail Resorts,983,2011.6,"Hotels, Restaurants & Leisure",Broomfield,CO
Kraton,982,2011.7,Chemicals,Houston,TX
Brown &amp; Brown,981,2014.2,Financials,Daytona Beach,FL
Winnebago Industries,980,2016.8,Motor Vehicles & Parts,Forest City,IA
Generac Holdings,979,2023.5,Industrials,Waukesha,WI
FTI Consulting,978,2027.9,Business Services,Washington,DC
Contura Energy,977,2032.5,Energy,Bristol,TN
Universal,976,2033.9,"Food, Beverages & Tobacco",Richmond,VA
Esterline Technologies,975,2034.8,Aerospace & Defense,Bellevue,WA
Ensign Group,974,2040.7,Health Care,Mission Viejo,CA
Newmark Group,973,2047.6,Financials,New York,NY
Nuance Communications,972,2051.7,Technology,Burlington,MA
Eldorado Resorts,971,2056.0,"Hotels, Restaurants & Leisure",Reno,NV
Rexnord,970,2066.0,Industrials,Milwaukee,WI
SM Energy,969,2067.1,Energy,Denver,CO
Tupperware Brands,968,2069.7,Household Products,Orlando,FL
Ferrellgas Partners,967,2073.1,Energy,Overland Park,KS
MKS Instruments,966,2075.1,Technology,Andover,MA
Whiting Petroleum,965,2081.4,Energy,Denver,CO
Evercore,964,2082.5,Financials,New York,NY
William Lyon Homes,963,2087.2,Engineering & Construction,Newport Beach,CA
SPX FLOW,962,2090.1,Industrials,Charlotte,NC
EchoStar,961,2091.4,Technology,Englewood,CO
Teradyne,960,2100.8,Technology,North Reading,MA
Summit Materials,959,2101.0,Materials,Denver,CO
Modine Manufacturing,958,2103.1,Motor Vehicles & Parts,Racine,WI
Allscripts Healthcare Solutions,957,2105.0,Health Care,Chicago,IL
Beazer Homes USA,956,2107.8,Engineering & Construction,Atlanta,GA
SiteOne Landscape Supply,955,2112.3,Wholesalers,Roswell,GA
Express,954,2116.3,Retailing,Columbus,OH
Superior Energy Services,953,2130.3,Energy,Houston,TX
Chico&#8217;s FAS,952,2131.1,Retailing,Fort Myers,FL
Rayonier Advanced Materials,951,2134.4,Chemicals,Jacksonville,FL
AMN Healthcare Services,950,2136.1,Health Care,San Diego,CA
Keane Group,949,2137.0,Energy,Houston,TX
Cadence Design Systems,948,2138.0,Technology,San Jose,CA
Maxar Technologies,947,2141.0,Aerospace & Defense,Westminster,CO
Griffon,946,2144.2,Materials,New York,NY
Century Communities,945,2147.4,Engineering & Construction,Greenwood Village,CO
Delta Tucker Holdings,944,2148.3,Aerospace & Defense,McLean,VA
Arista Networks,943,2151.4,Technology,Santa Clara,CA
Liberty Oilfield Services,942,2155.1,Energy,Denver,CO
