company,rank,revenue,sector,city,state
Pinnacle Foods Finance LLC,799,2469.60,Food Consumer Products,Parsippany,NJ
Brookdale Senior Living Inc.,800,2457.90,Health Care: Medical Facilities,Brentwood,TN
"Patterson-UTI Energy, Inc.",784,2567.00,"Oil and Gas Equipment, Services",Houston,TX
Vulcan Materials Company,785,2564.50,"Building Materials, Glass",Birmingham,AL
Crane Co.,786,2545.90,Industrial Machinery,Stamford,CT
"Helmerich & Payne, Inc.",787,2543.90,"Oil and Gas Equipment, Services",Tulsa,OK
DENTSPLY International Inc.,788,2537.70,Medical Products and Equipment,York,PA
Kemper Corporation,789,2533.60,Insurance: Property and Casualty (Stock),Chicago,IL
"Spartan Stores, Inc.",790,2533.10,Wholesalers: Food and Grocery,Grand Rapids,MI
"The Warnaco Group, Inc.",791,2513.40,Apparel,New York,NY
Sigma-Aldrich Corporation,792,2505.00,Chemicals,St. Louis,MO
"BE Aerospace, Inc.",793,2499.80,Aerospace and Defense,Wellington,FL
"Popular, Inc.",794,2497.80,Commercial Banks,Hato Rey,PR
West Corporation,795,2491.30,Diversified Outsourcing Services,Omaha,NE
"Urban Outfitters, Inc.",796,2473.80,Specialty Retailers: Apparel,Philadelphia,PA
"Maxim Integrated Products, Inc.",797,2472.30,Semiconductors and Other Electronic Components,Sunnyvale,CA
Newfield Exploration Company,798,2471.00,"Mining, Crude-Oil Production",The Woodlands,TX
Momentive Performance Materials Inc.,768,2637.00,Chemicals,Albany,NY
Markel Corporation,769,2630.00,Insurance: Property and Casualty (Stock),Glen Allen,VA
Packaging Corporation of America,770,2620.10,"Packaging, Containers",Lake Forest,IL
"United Rentals, Inc.",771,2611.00,zMiscellaneous,Greenwich,CT
"Brown Shoe Company, Inc.",772,2602.50,Specialty Retailers: Apparel,St. Louis,MO
Comerica Incorporated,773,2601.00,Commercial Banks,Dallas,TX
"Varian Medical Systems, Inc.",774,2596.70,Medical Products and Equipment,Palo Alto,CA
"Vishay Intertechnology, Inc.",775,2594.00,Semiconductors and Other Electronic Components,Malvern,PA
Brown-Forman Corporation,776,2586.00,Beverages,Louisville,KY
Tupperware Brands Corporation,777,2585.00,Household and Personal Products,Orlando,FL
"American Axle & Manufacturing Holdings, Inc.",777,2585.00,Motor Vehicles and Parts,Detroit,MI
"Rush Enterprises, Inc.",779,2580.60,"Automotive Retailing, Services",New Braunfels,TX
"Tetra Tech, Inc.",780,2573.10,"Engineering, Construction",Pasadena,CA
Universal Corporation,781,2571.50,Tobacco,Richmond,VA
"Walter Energy, Inc.",782,2571.40,"Mining, Crude-Oil Production",Birmingham,AL
"Fossil, Inc.",783,2567.30,Apparel,Richardson,TX
Endo Pharmaceuticals Holdings Inc.,752,2730.10,Pharmaceuticals,Chadds Ford,PA
"MEMC Electronic Materials, Inc.",753,2715.50,Semiconductors and Other Electronic Components,St. Peters,MO
"Lincoln Electric Holdings, Inc.",754,2694.60,Industrial Machinery,Cleveland,OH
"Guess?, Inc.",755,2688.00,Apparel,Los Angeles,CA
Zions Bancorporation,756,2686.80,Commercial Banks,Salt Lake City,UT
"Exterran Holdings, Inc.",757,2683.50,"Oil and Gas Equipment, Services",Houston,TX
Regal Entertainment Group,758,2681.70,Entertainment,Knoxville,TN
"NVR, Inc.",759,2669.60,Homebuilders,Reston,VA
"ScanSource, Inc.",760,2666.50,Wholesalers: Electronics and Office Equipment,Greenville,SC
Southern Union Company,761,2666.00,Utilities: Gas and Electric,Houston,TX
"Valmont Industries, Inc.",762,2661.50,Construction and Farm Machinery,Omaha,NE
TMS International Corp.,763,2661.50,Metals,Glassport,PA
Polaris Industries Inc.,764,2656.90,Transportation Equipment,Medina,MN
National Life Group,765,2655.00,"Insurance: Life, Health (Mutual)",Montpelier,VT
Green Mountain Coffee Roasters,766,2650.90,Beverages,Waterbury,VT
"Landstar System, Inc.",767,2649.10,"Trucking, Truck Leasing",Jacksonville,FL
"First Solar, Inc.",738,2766.20,Energy,Tempe,AZ
"Lithia Motors, Inc.",739,2764.10,"Automotive Retailing, Services",Medford,OR
EchoStar Corporation,740,2761.40,Network and Other Communications Equipment,Englewood,CO
"Brinker International, Inc.",741,2761.40,Food Services,Dallas,TX
TPC Group Inc.,742,2758.50,Chemicals,Houston,TX
"Thor Industries, Inc.",743,2755.50,Motor Vehicles and Parts,Jackson Center,OH
"Weis Markets, Inc.",744,2752.50,Food and Drug Stores,Sunbury,PA
"Hub Group, Inc.",745,2751.50,Transportation and Logistics,Downers Grove,IL
"WGL Holdings, Inc.",746,2751.50,Energy,Washington,DC
"Church & Dwight Co., Inc.",747,2749.30,Household and Personal Products,Princeton,NJ
"T. Rowe Price Group, Inc.",748,2747.10,Securities,Baltimore,MD
"Penn National Gaming, Inc.",749,2742.30,"Hotels, Casinos, Resorts",Wyomissing,PA
Pall Corporation,750,2740.90,Industrial Machinery,Port Washington,NY
"Biomet, Inc.",751,2732.20,Medical Products and Equipment,Warsaw,IN
Regal Beloit Corporation,724,2808.30,"Electronics, Electrical Equip.",Beloit,WI
