company,rank,revenue,sector,city,state
Select Medical Holdings Corporation,725,2804.50,Health Care: Medical Facilities,Mechanicsburg,PA
"Magellan Health Services, Inc.",726,2799.40,Health Care: Insurance and Managed Care,Avon,CT
"Roper Industries, Inc.",727,2797.10,"Scientific,Photographic and Control Equipment",Sarasota,FL
WABCO Holdings Inc.,728,2794.10,Motor Vehicles and Parts,Piscataway,NJ
International Flavors & Fragrances Inc.,729,2788.00,Chemicals,New York,NY
Iasis Healthcare LLC,730,2787.10,Health Care: Medical Facilities,Franklin,TN
"Legg Mason, Inc.",731,2784.30,Securities,Baltimore,MD
Mercury General Corporation,732,2777.30,Insurance: Property and Casualty (Stock),Los Angeles,CA
"Amkor Technology, Inc.",733,2776.40,Semiconductors and Other Electronic Components,Chandler,AZ
"Flowers Foods, Inc.",734,2773.40,Food Consumer Products,Thomasville,GA
Perrigo Company,735,2772.50,Pharmaceuticals,Allegan,MI
TD Ameritrade Holding Corporation,736,2767.50,Securities,Omaha,NE
Fastenal Company,737,2766.90,Specialty Retailers: Other,Winona,MN
"StanCorp Financial Group, Inc.",711,2874.70,"Insurance: Life, Health (stock)",Portland,OR
Hubbell Incorporated,712,2871.60,"Electronics, Electrical Equip.",Shelton,CT
ManTech International Corporation,713,2870.00,Information Technology Services,Fairfax,VA
Albemarle Corporation,714,2869.00,Chemicals,Baton Rouge,LA
Warner Music Group Corp.,715,2869.00,Entertainment,New York,NY
Republic Airways Holdings Inc.,716,2864.50,Airlines,Indianapolis,IN
PolyOne Corporation,717,2863.50,Chemicals,Avon Lake,OH
"Armstrong World Industries, Inc.",718,2859.50,"Building Materials, Glass",Lancaster,PA
Cooper-Standard Holdings Inc.,719,2853.50,Motor Vehicles and Parts,Novi,MI
"American Water Works Company, Inc.",720,2839.70,zMiscellaneous,Voorhees,NJ
"Diebold, Incorporated",721,2835.80,"Computers, Office Equipment",North Canton,OH
Cabela's Incorporated,722,2811.20,Specialty Retailers: Other,Sidney,NE
"General Growth Properties, Inc.",723,2809.90,Real estate,Chicago,IL
"NV Energy, Inc.",701,2943.30,Utilities: Gas and Electric,Las Vegas,NV
United Refining Company,702,2942.30,Petroleum Refining,Warren,PA
NStar,703,2930.40,Utilities: Gas and Electric,Boston,MA
The Scotts Miracle-Gro Company,704,2924.40,Chemicals,Marysville,OH
"Ascena Retail Group, Inc.",705,2914.00,Specialty Retailers: Apparel,Suffern,NY
"Triumph Group, Inc.",706,2907.20,Aerospace and Defense,Wayne,PA
"C.R. Bard, Inc.",707,2896.40,Medical Products and Equipment,Murray Hill,NJ
Education Management Corporation,708,2887.60,Education,Pittsburgh,PA
Exide Technologies,709,2887.50,Motor Vehicles and Parts,Milton,GA
"Rent-A-Center, Inc.",710,2882.20,Specialty Retailers: Other,Plano,TX
"PetSmart, Inc.",400,6113.30,Specialty Retailers: Other,Phoenix,AZ
"The McGraw-Hill Companies, Inc.",384,6336.00,"Publishing, Printing",New York,NY
AMERIGROUP Corporation,385,6318.40,Health Care: Insurance and Managed Care,Virginia Beach,VA
Anixter International Inc.,386,6270.10,Wholesalers: Diversified,Glenview,IL
Precision Castparts Corp.,387,6267.20,Aerospace and Defense,Portland,OR
"Mattel, Inc.",388,6266.00,"Toys, Sporting Goods",El Segundo,CA
"Omnicare, Inc.",389,6239.90,Health Care: Pharmacy and Other Services,Covington,KY
"Corn Products International, Inc.",390,6219.40,Food Production,Westchester,IL
Symantec Corporation,391,6190.00,Computer Software,Mountain View,CA
"Advance Auto Parts, Inc.",392,6170.50,Specialty Retailers: Other,Roanoke,VA
"Core-Mark Holding Company, Inc.",393,6163.40,Wholesalers: Food and Grocery,South San Francisco,CA
"CC Media Holdings, Inc.",394,6161.40,Entertainment,San Antonio,TX
"Expeditors International of Washington, Inc.",395,6150.50,Transportation and Logistics,Seattle,WA
Mylan Inc.,396,6129.80,Pharmaceuticals,Canonsburg,PA
"WESCO International, Inc.",397,6125.70,Wholesalers: Diversified,Pittsburgh,PA
Cognizant Technology Solutions Corporation,398,6121.20,Information Technology Services,Teaneck,NJ
CONSOL Energy Inc.,399,6117.20,"Mining, Crude-Oil Production",Canonsburg,PA
"NII Holdings, Inc.",369,6719.30,Telecommunications,Reston,VA
MasterCard Incorporated,370,6714.00,Financial Data Services,Purchase,NY
Jarden Corporation,371,6679.90,"Home Equipment, Furnishings",Rye,NY
Fifth Third Bancorp,372,6673.00,Commercial Banks,Cincinnati,OH
"Dollar Tree, Inc.",373,6630.50,Specialty Retailers: Other,Chesapeake,VA
Weyerhaeuser Company,374,6618.00,Forest and Paper Products,Federal Way,WA
"Agilent Technologies, Inc.",375,6615.00,"Scientific,Photographic and Control Equipment",Santa Clara,CA
Sanmina-SCI Corporation,376,6602.40,Semiconductors and Other Electronic Components,San Jose,CA
NuStar Energy L.P.,377,6575.30,Pipelines,San Antonio,TX
"Advanced Micro Devices, Inc.",378,6568.00,Semiconductors and Other Electronic Components,Sunnyvale,CA
Terex Corporation,379,6504.60,Construction and Farm Machinery,Westport,CT
CMS Energy Corporation,380,6503.00,Utilities: Gas and Electric,Jackson,MI
AK Steel Holding Corporation,381,6468.00,Metals,West Chester,OH
American Family Ins. Group,382,6400.20,Insurance: Property and Casualty (Stock),Madison,WI
"Dillard's, Inc.",383,6399.80,General Merchandisers,Little Rock,AR
"Franklin Resources, Inc.",353,7140.00,Securities,San Mateo,CA
OfficeMax Incorporated,354,7121.20,Specialty Retailers: Other,Naperville,IL
BorgWarner Inc.,355,7114.70,Motor Vehicles and Parts,Auburn Hills,MI
"Alpha Natural Resources, Inc.",356,7109.20,"Mining, Crude-Oil Production",Bristol,VA
Energy Future Holdings Corp.,357,7040.00,Energy,Dallas,TX
"The Interpublic Group of Companies, Inc.",358,7014.60,"Advertising, marketing",New York,NY
DaVita Inc.,359,6998.90,Health Care: Medical Facilities,Denver,CO
"Barnes & Noble, Inc.",360,6998.60,Specialty Retailers: Other,New York,NY
Targa Resources Corp.,361,6994.50,Pipelines,Houston,TX
Cameron International Corporation,362,6959.00,"Oil and Gas Equipment, Services",Houston,TX
"Winn-Dixie Stores, Inc.",363,6929.90,Food and Drug Stores,Jacksonville,FL
Calpine Corporation,364,6800.00,Energy,Houston,TX
Ecolab Inc.,365,6798.50,Chemicals,St. Paul,MN
Cliffs Natural Resources Inc.,366,6794.30,"Mining, Crude-Oil Production",Cleveland,OH
Avery Dennison Corporation,367,6786.70,Chemicals,Pasadena,CA
Celanese Corporation,368,6763.00,Chemicals,Dallas,TX
Oshkosh Corporation,337,7584.70,Motor Vehicles and Parts,Oshkosh,WI
Masco Corporation,338,7560.00,"Home Equipment, Furnishings",Taylor,MI
"Universal Health Services, Inc.",339,7534.10,Health Care: Medical Facilities,King of Prussia,PA
Ameren Corporation,340,7531.00,Utilities: Gas and Electric,St. Louis,MO
Quest Diagnostics Incorporated,341,7510.50,Health Care: Pharmacy and Other Services,Madison,NJ
"Darden Restaurants, Inc.",342,7500.20,Food Services,Orlando,FL
Regions Financial Corporation,343,7427.00,Commercial Banks,Birmingham,AL
Broadcom Corporation,344,7389.00,Semiconductors and Other Electronic Components,Irvine,CA
"Owens-Illinois, Inc.",345,7358.00,"Packaging, Containers",Perrysburg,OH
Eastman Chemical Company,346,7283.00,Chemicals,Kingsport,TN
"The Pantry, Inc.",347,7271.80,Specialty Retailers: Other,Cary,NC
Cablevision Systems Corporation,348,7252.30,Telecommunications,Bethpage,NY
"Dole Food Company, Inc.",349,7223.80,Food Consumer Products,Westlake Village,CA
Tenneco Inc.,350,7205.00,Motor Vehicles and Parts,Lake Forest,IL
"Charter Communications, Inc.",351,7204.00,Telecommunications,St. Louis,MO
"Spectrum Group International, Inc.",352,7203.40,zMiscellaneous,Irvine,CA
Visteon Corporation,321,8047.00,Motor Vehicles and Parts,Van Buren Township,MI
AECOM Technology Corporation,322,8037.40,"Engineering, Construction",Los Angeles,CA
"Steel Dynamics, Inc.",323,7997.50,Metals,Fort Wayne,IN
"Coca-Cola Enterprises, Inc.",324,7939.00,Beverages,Atlanta,GA
"The Williams Companies, Inc.",325,7930.00,Energy,Tulsa,OK
Commercial Metals Company,326,7919.80,Metals,Irving,TX
Hormel Foods Corporation,327,7895.10,Food Consumer Products,Austin,MN
Corning Incorporated,328,7890.00,Network and Other Communications Equipment,Corning,NY
TravelCenters of America LLC,329,7888.90,Specialty Retailers: Other,Westlake,OH
"Sonic Automotive, Inc.",330,7871.30,"Automotive Retailing, Services",Charlotte,NC
MGM Resorts International,331,7849.30,"Hotels, Casinos, Resorts",Las Vegas,NV
Thrivent Financial for Lutherans,332,7842.80,"Insurance: Life, Health (Mutual)",Minneapolis,MN
"Becton, Dickinson and Company",333,7832.10,Medical Products and Equipment,Franklin Lakes,NJ
Campbell Soup Company,334,7719.00,Food Consumer Products,Camden,NJ
Boston Scientific Corporation,335,7622.00,Medical Products and Equipment,Natick,MA
Dana Holding Corporation,336,7592.00,Motor Vehicles and Parts,Maumee,OH
Dover Corporation,304,8501.90,Industrial Machinery,Downers Grove,IL
"CenterPoint Energy, Inc.",305,8450.00,Utilities: Gas and Electric,Houston,TX
"Gilead Sciences, Inc.",306,8385.40,Pharmaceuticals,Foster City,CA
Ashland Inc.,307,8370.00,Chemicals,Covington,KY
Stryker Corporation,308,8307.00,Medical Products and Equipment,Kalamazoo,MI
"Hertz Global Holdings, Inc.",309,8298.40,"Automotive Retailing, Services",Park Ridge,NJ
"Assurant, Inc.",310,8272.80,Insurance: Property and Casualty (Stock),New York,NY
"Kinder Morgan, Inc.",311,8264.90,Pipelines,Houston,TX
"Energy Transfer Equity, L.P.",312,8240.70,Pipelines,Dallas,TX
"Autoliv, Inc.",313,8232.40,Motor Vehicles and Parts,Auburn Hills,MI
"Republic Services, Inc.",314,8192.90,Waste Management,Phoenix,AZ
Reliance Steel & Aluminum Co.,315,8134.70,Metals,Los Angeles,CA
Peabody Energy Corporation,316,8096.00,"Mining, Crude-Oil Production",St. Louis,MO
"The Great Atlantic & Pacific Tea Company, Inc.",317,8078.50,Food and Drug Stores,Montvale,NJ
"W.W. Grainger, Inc.",318,8078.20,Wholesalers: Diversified,Lake Forest,IL
Goodrich Corporation,319,8074.90,Aerospace and Defense,Charlotte,NC
"AutoZone, Inc.",320,8073.00,Specialty Retailers: Other,Memphis,TN
"Family Dollar Stores, Inc.",301,8547.80,General Merchandisers,Matthews,NC
Reynolds American Inc.,302,8541.00,Tobacco,Winston-Salem,NC
"Henry Schein, Inc.",303,8530.20,Wholesalers: Health Care,Melville,NY
BlueLinx Holdings Inc.,1000,1755.40,Wholesalers: Diversified,Atlanta,GA
Invacare Corporation,983,1801.10,Medical Products and Equipment,Elyria,OH
"Darling International, Inc.",984,1797.20,Food Production,Irving,TX
"Acuity Brands, Inc.",985,1795.70,"Electronics, Electrical Equip.",Atlanta,GA
Pool Corporation,986,1793.30,Wholesalers: Diversified,Covington,LA
"Hologic, Inc.",987,1789.30,Medical Products and Equipment,Bedford,MA
National Fuel Gas Company,988,1778.80,Utilities: Gas and Electric,Williamsville,NY
"Martin Marietta Materials, Inc.",989,1778.40,"Building Materials, Glass",Raleigh,NC
"Tower Group, Inc.",990,1777.00,Insurance: Property and Casualty (Stock),New York,NY
"Ulta Salon, Cosmetics & Fragrance, Inc.",991,1776.20,Specialty Retailers: Other,Bolingbrook,IL
"Ventas, Inc.",992,1775.10,Real estate,Chicago,IL
Teleflex Incorporated,993,1770.50,Medical Products and Equipment,Limerick,PA
"Michael Foods Group, Inc",994,1766.60,Food Consumer Products,Minnetonka,MN
"Boston Properties, Inc.",995,1759.50,Real estate,Boston,MA
The Dun & Bradstreet Corporation,996,1758.50,Financial Data Services,Short Hills,NJ
Cimarex Energy Co.,997,1757.90,"Mining, Crude-Oil Production",Denver,CO
The Cheesecake Factory Incorporated,998,1757.60,Food Services,Calabasas Hills,CA
"Intuitive Surgical, Inc.",999,1757.30,Medical Products and Equipment,Sunnyvale,CA
IDEX Corporation,967,1838.50,Industrial Machinery,Lake Forest,IL
HNI Corporation,968,1833.50,"Home Equipment, Furnishings",Muscatine,IA
Amica Mutual Insurance Co.,969,1832.40,Insurance: Property and Casualty (Mutual),Lincoln,RI
"Universal Forest Products, Inc.",970,1822.30,Forest and Paper Products,Grand Rapids,MI
Panera Bread Company,971,1822.00,Food Services,St. Louis,MO
"Gentiva Health Services, Inc.",972,1821.60,Health Care: Pharmacy and Other Services,Atlanta,GA
"Weight Watchers International, Inc.",973,1819.20,Specialty Retailers: Other,New York,NY
"BioScrip, Inc.",974,1818.00,Health Care: Pharmacy and Other Services,Elmsford,NY
"Beacon Roofing Supply, Inc.",975,1817.40,Wholesalers: Diversified,Peabody,MA
"EnergySolutions, Inc.",976,1815.50,Waste Management,Salt Lake City,UT
Portland General Electric Company,977,1813.00,Utilities: Gas and Electric,Portland,OR
"RPC, Inc.",978,1809.80,"Oil and Gas Equipment, Services",Atlanta,GA
"Total System Services, Inc.",979,1809.00,Financial Data Services,Columbus,GA
AAR Corp.,980,1805.10,Aerospace and Defense,Wood Dale,IL
JDS Uniphase Corporation,981,1804.50,Network and Other Communications Equipment,Milpitas,CA
Atmel Corporation,982,1803.10,Semiconductors and Other Electronic Components,San Jose,CA
Metals USA Holdings Corp.,950,1885.90,Metals,Ft. Lauderdale,FL
The Toro Company,951,1884.00,Construction and Farm Machinery,Bloomington,MN
"Old Dominion Freight Line, Inc.",952,1882.50,"Trucking, Truck Leasing",Thomasville,NC
"Fred's, Inc.",953,1879.10,Food and Drug Stores,Memphis,TN
"Corinthian Colleges, Inc.",954,1868.80,Education,Santa Ana,CA
True Value Company,955,1864.80,Wholesalers: Diversified,Chicago,IL
"Alexander & Baldwin, Inc.",956,1863.40,Shipping,Honolulu,HI
Global Payments Inc.,957,1859.80,Financial Data Services,Atlanta,GA
"J. Crew Group, Inc.",958,1855.00,Specialty Retailers: Apparel,New York,NY
Waters Corporation,959,1851.20,"Scientific,Photographic and Control Equipment",Milford,MA
Kirby Corporation,960,1850.40,Shipping,Houston,TX
"The Phoenix Companies, Inc.",961,1849.70,"Insurance: Life, Health (stock)",Hartford,CT
Lincare Holdings Inc.,962,1847.50,Health Care: Pharmacy and Other Services,Clearwater,FL
"Key Energy Services, Inc.",963,1846.90,"Oil and Gas Equipment, Services",Houston,TX
"Coinstar, Inc.",964,1845.40,Specialty Retailers: Other,Bellevue,WA
"Alliance Holdings GP, L.P.",965,1843.20,"Mining, Crude-Oil Production",Tulsa,OK
Stepan Company,966,1843.10,Chemicals,Northfield,IL
Plains Exploration & Production Company,934,1964.50,"Mining, Crude-Oil Production",Houston,TX
EnerSys,935,1964.50,"Electronics, Electrical Equip.",Reading,PA
Olin Corporation,936,1961.10,Chemicals,Clayton,MO
Equifax Inc.,937,1959.80,Financial Data Services,Atlanta,GA
"Quiksilver, Inc.",938,1953.10,Apparel,Huntington Beach,CA
Radian Group Inc.,939,1947.80,Insurance: Property and Casualty (Stock),Philadelphia,PA
"Sun Healthcare Group, Inc.",940,1936.20,Health Care: Medical Facilities,Irvine,CA
Clearwater Paper Corporation,941,1928.00,Household and Personal Products,Spokane,WA
"PerkinElmer, Inc.",942,1921.30,"Scientific,Photographic and Control Equipment",Waltham,MA
Career Education Corporation,943,1916.20,Education,Schaumburg,IL
Arkansas Best Corporation,944,1907.60,"Trucking, Truck Leasing",Fort Smith,AR
Scholastic Corporation,945,1906.10,"Publishing, Printing",New York,NY
"Delphi Financial Group, Inc.",946,1900.40,"Insurance: Life, Health (stock)",Wilmington,DE
Whiting Petroleum Corporation,947,1899.60,"Mining, Crude-Oil Production",Denver,CO
Southwest Gas Corporation,948,1887.20,Utilities: Gas and Electric,Las Vegas,NV
"KAR Auction Services, Inc.",949,1886.30,Wholesalers: Diversified,Carmel,IN
Mutual of America Life Insurance Company,923,2005.60,"Insurance: Life, Health (Mutual)",New York,NY
"Werner Enterprises, Inc.",924,2002.90,"Trucking, Truck Leasing",Omaha,NE
Symetra Financial Corp.,925,1999.10,"Insurance: Life, Health (stock)",Bellevue,WA
"Heartland Payment Systems, Inc.",926,1997.00,Financial Data Services,Princeton,NJ
"Charming Shoppes, Inc.",927,1992.40,Specialty Retailers: Apparel,Bensalem,PA
"Clean Harbors, Inc.",928,1984.10,Waste Management,Norwell,MA
Belden Inc.,929,1982.00,"Electronics, Electrical Equip.",St. Louis,MO
Teledyne Technologies Incorporated,930,1981.40,Aerospace and Defense,Thousand Oaks,CA
"Sanderson Farms, Inc.",931,1978.10,Food Production,Laurel,MS
"Insperity, Inc.",932,1976.20,Diversified Outsourcing Services,Kingwood,TX
Westinghouse Air Brake Technologies Corporation,933,1967.60,Industrial Machinery,Wilmerding,PA
"MSC Industrial Direct Co. , Inc.",917,2021.80,Wholesalers: Diversified,Melville,NY
International Game Technology,918,2017.00,Industrial Machinery,Las Vegas,NV
"Crosstex Energy, Inc.",919,2013.90,Pipelines,Dallas,TX
Springleaf Finance Corporation,920,2011.30,Diversified Financials,Evansville,IN
Granite Construction Incorporated,921,2009.50,"Engineering, Construction",Watsonville,CA
"Cenveo, Inc.",922,2008.80,"Publishing, Printing",Stamford,CT
"Bio-Rad Laboratories, Inc.",902,2073.50,Medical Products and Equipment,Hercules,CA
"Express, Inc.",903,2073.40,Specialty Retailers: Apparel,Columbus,OH
"GNC Holdings, Inc.",904,2072.20,Food and Drug Stores,Pittsburgh,PA
"Superior Energy Services, Inc.",905,2070.20,"Oil and Gas Equipment, Services",Houston,TX
"BMC Software, Inc.",906,2065.30,Computer Software,Houston,TX
Altera Corporation,907,2064.50,Semiconductors and Other Electronic Components,San Jose,CA
"The Pep Boys - Manny, Moe & Jack",908,2063.60,Specialty Retailers: Other,Philadelphia,PA
IAC/InterActiveCorp,909,2059.40,Internet Services and Retailing,New York,NY
Curtiss-Wright Corporation,910,2054.10,Aerospace and Defense,Parsippany,NJ
"TreeHouse Foods, Inc.",911,2050.00,Food Consumer Products,Oak Brook,IL
Knights of Columbus,912,2039.70,"Insurance: Life, Health (Mutual)",New Haven,CT
"PSS World Medical, Inc.",913,2034.80,Wholesalers: Health Care,Jacksonville,FL
Crown Castle International Corp.,914,2032.70,Telecommunications,Houston,TX
DSW Inc.,915,2024.30,Specialty Retailers: Apparel,Columbus,OH
"Aaron's, Inc.",916,2024.00,Specialty Retailers: Other,Atlanta,GA
"Harman International Industries, Incorporated",592,3772.30,"Electronics, Electrical Equip.",Stamford,CT
"Noble Energy, Inc.",593,3763.00,"Mining, Crude-Oil Production",Houston,TX
Brunswick Corporation,594,3748.00,Transportation Equipment,Lake Forest,IL
"Delta Tucker Holdings, Inc.",595,3721.50,Aerospace and Defense,Falls Church,VA
"Williams-Sonoma, Inc.",596,3720.90,Specialty Retailers: Other,San Francisco,CA
Tutor Perini Corporation,597,3716.30,"Engineering, Construction",Sylmar,CA
"Facebook, Inc.",598,3711.00,Internet Services and Retailing,Menlo Park,CA
"Belk, Inc.",599,3699.60,General Merchandisers,Charlotte,NC
Hyatt Hotels Corporation,600,3698.00,"Hotels, Casinos, Resorts",Chicago,IL
"hhgregg, Inc.",901,2077.70,Specialty Retailers: Other,Indianapolis,IN
OGE Energy Corp.,576,3915.90,Utilities: Gas and Electric,Oklahoma City,OK
The Brink's Company,577,3885.50,Diversified Outsourcing Services,Richmond,VA
CareFusion Corporation,578,3854.00,Medical Products and Equipment,San Diego,CA
Unisys Corporation,579,3853.80,Information Technology Services,Blue Bell,PA
Intuit Inc.,580,3851.00,Computer Software,Mountain View,CA
"Unified Grocers, Inc.",581,3847.80,Wholesalers: Food and Grocery,Commerce,CA
"Roundy's, Inc.",582,3842.00,Food and Drug Stores,Milwaukee,WI
"Burlington Coat Factory Investments Holdings, Inc.",583,3841.10,Specialty Retailers: Apparel,Burlington,NJ
The First American Financial Corporation,584,3820.60,Insurance: Property and Casualty (Stock),Santa Ana,CA
Cintas Corporation,585,3810.40,Diversified Outsourcing Services,Cincinnati,OH
Xylem Inc.,586,3803.00,Industrial Machinery,White Plains,NY
Cincinnati Financial Corporation,587,3802.70,Insurance: Property and Casualty (Stock),Fairfield,OH
The Jones Group Inc.,588,3785.30,Apparel,New York,NY
Robert Half International Inc.,589,3777.00,Temporary Help,Menlo Park,CA
Life Technologies Corporation,590,3775.70,"Scientific,Photographic and Control Equipment",Carlsbad,CA
"H&R Block, Inc.",591,3774.30,Diversified Financials,Kansas City,MO
"Coach, Inc.",560,4158.50,Apparel,New York,NY
Abercrombie & Fitch Co.,561,4158.10,Specialty Retailers: Apparel,New Albany,OH
"PulteGroup, Inc.",562,4136.70,Homebuilders,Bloomfield Hills,MI
"CNO Financial Group, Inc.",563,4124.60,"Insurance: Life, Health (stock)",Carmel,IN
Domus Holdings Corp.,564,4093.00,Real estate,Parsippany,NJ
"Expedia, Inc.",565,4070.00,Internet Services and Retailing,Bellevue,WA
"Hospira, Inc.",566,4057.10,Pharmaceuticals,Lake Forest,IL
"MDU Resources Group, Inc.",567,4050.50,"Mining, Crude-Oil Production",Bismarck,ND
"Neiman Marcus, Inc.",568,4002.30,Specialty Retailers: Apparel,Dallas,TX
"WPX Energy, Inc.",569,4001.00,"Mining, Crude-Oil Production",Tulsa,OK
NVIDIA Corporation,570,3997.90,Semiconductors and Other Electronic Components,Santa Clara,CA
The Valspar Corporation,571,3953.00,Chemicals,Minneapolis,MN
Factory Mutual Insurance Company,572,3944.40,Insurance: Property and Casualty (Stock),Johnston,RI
Amphenol Corporation,573,3939.80,Network and Other Communications Equipment,Wallingford,CT
"The Hanover Insurance Group, Inc.",574,3931.60,Insurance: Property and Casualty (Stock),Worcester,MA
Cooper Tire & Rubber Company,575,3927.20,Motor Vehicles and Parts,Findlay,OH
Windstream Corporation,544,4288.30,Telecommunications,Little Rock,AR
"Arch Coal, Inc.",545,4285.90,"Mining, Crude-Oil Production",St. Louis,MO
"Hasbro, Inc.",546,4285.60,"Toys, Sporting Goods",Pawtucket,RI
Wyndham Worldwide Corporation,547,4254.00,"Hotels, Casinos, Resorts",Parsippany,NJ
"Airgas, Inc.",548,4251.50,Wholesalers: Diversified,Radnor,PA
The Washington Post Company,549,4249.60,Education,Washington,DC
Greif,550,4248.00,"Packaging, Containers",Delaware,OH
ABM Industries Incorporated,551,4246.80,Diversified Outsourcing Services,New York,NY
"Discovery Communications, Inc.",552,4235.00,Entertainment,Silver Spring,MD
Tractor Supply Company,553,4232.70,Specialty Retailers: Other,Brentwood,TN
Adobe Systems Incorporated,554,4216.30,Computer Software,San Jose,CA
"Michaels Stores, Inc.",555,4210.00,Specialty Retailers: Other,Irving,TX
Graphic Packaging Holding Company,556,4206.30,"Packaging, Containers",Marietta,GA
"Lexmark International, Inc.",557,4173.00,Computer Peripherals,Lexington,KY
