company,rank,revenue,sector,city,state
Delta Air Lines,68,47007,Transportation,Atlanta,GA
American Airlines Group,70,45768,Transportation,Fort Worth,TX
Paramount Global,111,27812,Media,New York,NY
Starbucks,114,26508.6,"Hotels, Restaurants & Leisure",Seattle,WA
US Foods Holding,116,25939,Wholesalers,Rosemont,IL
Mondelez International,117,25868,"Food, Beverages & Tobacco",Deerfield,IL
Jabil,121,25282.3,Technology,St. Petersburg,FL
Danaher,161,20521.2,Health Care,Washington,DC
Netflix,164,20156.4,Media,Los Gatos,CA
World Fuel Services,91,36819,Energy,Miami,FL
Philip Morris International,107,29805,"Food, Beverages & Tobacco",New York,NY
TD Synnex,130,23757.3,Wholesalers,Fremont,CA
Performance Food Group,168,19743.5,Wholesalers,Richmond,VA
Capital One Financial,97,33766,Financials,McLean,VA
Qualcomm,126,24273,Technology,San Diego,CA
CarMax,173,19146,Retailing,Richmond,VA
Honeywell International,92,36709,Industrials,Charlotte,NC
3M,103,32136,Chemicals,St. Paul,MN
Travelers,106,31581,Financials,New York,NY
Arrow Electronics,110,28916.8,Wholesalers,Centennial,CO
Dollar General,112,27754,Retailing,Goodlettsville,TN
Massachusetts Mutual Life Insurance,89,37253.4,Financials,Springfield,MA
USAA,94,35617.4,Financials,San Antonio,TX
Exelon,95,34438,Energy,Chicago,IL
Northrop Grumman,96,33841,Aerospace & Defense,Falls Church,VA
Northwestern Mutual,102,32293.6,Financials,Milwaukee,WI
Nucor,139,22588.9,Materials,Charlotte,NC
General Dynamics,83,39350,Aerospace & Defense,Reston,VA
Coca-Cola,88,37266,"Food, Beverages & Tobacco",Atlanta,GA
CHS,105,31900.5,"Food, Beverages & Tobacco",Inver Grove Heights,MN
Thermo Fisher Scientific,119,25542,Technology,Waltham,MA
TIAA,81,40454.4,Financials,New York,NY
Oracle,82,39506,Technology,Redwood City,CA
Plains GP Holdings,98,33669,Energy,Houston,TX
StoneX Group,100,32897,Financials,New York,NY
Enterprise Products Partners,101,32789.2,Energy,Houston,TX
Abbott Laboratories,104,31904,Health Care,Abbott Park,IL
American Express,67,47020,Financials,New York,NY
Deere,84,39258,Industrials,Moline,IL
Nike,85,39117,Apparel,Beaverton,OR
Bristol-Myers Squibb,115,26145,Health Care,New York,NY
Nationwide,74,43982,Financials,Columbus,OH
Liberty Mutual Insurance Group,77,43228,Financials,Boston,MA
Tyson Foods,79,42405,"Food, Beverages & Tobacco",Springdale,AR
TJX,80,41717,Retailing,Framingham,MA
Progressive,86,39022.3,Financials,Mayfield Village,OH
Publix Super Markets,87,38462.8,Food & Drug Stores,Lakeland,FL
ConocoPhillips,93,36670,Energy,Houston,TX
Sysco,56,60113.9,Wholesalers,Houston,TX
Caterpillar,62,53800,Industrials,Deerfield,IL
Cisco Systems,63,51904,Technology,San Jose,CA
American International Group,66,49746,Financials,New York,NY
Merck,69,46840,Health Care,Kenilworth,NJ
Charter Communications,71,45764,Telecommunications,Stamford,CT
New York Life Insurance,73,44116.6,Financials,New York,NY
Best Buy,75,43638,Retailing,Richfield,MN
Allstate,72,44675,Financials,Northbrook,IL
Dow,78,42951,Chemicals,Midland,MI
AbbVie,99,33266,Health Care,North Chicago,IL
Tesla,124,24578,Motor Vehicles & Parts,Palo Alto,CA
Boeing,40,76559,Aerospace & Defense,Chicago,IL
Morgan Stanley,61,53823,Financials,New York,NY
HCA Healthcare,65,51336,Health Care,Nashville,TN
HP,58,58756,Technology,Palo Alto,CA
Raytheon Technologies,39,77046,Aerospace & Defense,Waltham,MA
