0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '992'}","{'key': 'revenues', 'value': '1834.9'}","{'key': 'revChange', 'value': '24.6'}","{'key': 'profits', 'value': '128.8'}","{'key': 'prftChange', 'value': '32.9'}","{'key': 'assets', 'value': '1157.1'}","{'key': 'totSHEqty', 'value': '816.9'}","{'key': 'mktVal', 'value': '5364.2'}","{'key': 'prftPctSls', 'value': '5364.2'}","{'key': 'prftPctAsts', 'value': '11.1'}","{'key': 'prftPctSHEqty', 'value': '15.8'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Under Armour, Inc.'}"
"{'key': 'rank', 'value': '993'}","{'key': 'revenues', 'value': '1833.9'}","{'key': 'revChange', 'value': '5.3'}","{'key': 'profits', 'value': '-144'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '1881.1'}","{'key': 'totSHEqty', 'value': '-89'}","{'key': 'mktVal', 'value': '1625.4'}","{'key': 'prftPctSls', 'value': '1625.4'}","{'key': 'prftPctAsts', 'value': '-7.7'}","{'key': 'prftPctSHEqty', 'value': ''}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ciena Corporation'}"
"{'key': 'rank', 'value': '994'}","{'key': 'revenues', 'value': '1832.6'}","{'key': 'revChange', 'value': '-11.9'}","{'key': 'profits', 'value': '22.9'}","{'key': 'prftChange', 'value': '-2.1'}","{'key': 'assets', 'value': '885.7'}","{'key': 'totSHEqty', 'value': '442.6'}","{'key': 'mktVal', 'value': '413.6'}","{'key': 'prftPctSls', 'value': '413.6'}","{'key': 'prftPctAsts', 'value': '2.6'}","{'key': 'prftPctSHEqty', 'value': '5.2'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqState', 'value': 'KY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'PharMerica Corporation'}"
"{'key': 'rank', 'value': '995'}","{'key': 'revenues', 'value': '1826.8'}","{'key': 'revChange', 'value': '0.4'}","{'key': 'profits', 'value': '257.4'}","{'key': 'prftChange', 'value': '-15.6'}","{'key': 'assets', 'value': '1218.6'}","{'key': 'totSHEqty', 'value': '-1665.5'}","{'key': 'mktVal', 'value': '2347.8'}","{'key': 'prftPctSls', 'value': '2347.8'}","{'key': 'prftPctAsts', 'value': '21.1'}","{'key': 'prftPctSHEqty', 'value': ''}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Weight Watchers International, Inc.'}"
"{'key': 'rank', 'value': '976'}","{'key': 'revenues', 'value': '1899.6'}","{'key': 'revChange', 'value': '13.2'}","{'key': 'profits', 'value': '293.2'}","{'key': 'prftChange', 'value': '23.9'}","{'key': 'assets', 'value': '2221.5'}","{'key': 'totSHEqty', 'value': '1479.3'}","{'key': 'mktVal', 'value': '9374.5'}","{'key': 'prftPctSls', 'value': '9374.5'}","{'key': 'prftPctAsts', 'value': '13.2'}","{'key': 'prftPctSHEqty', 'value': '19.8'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Edwards Lifesciences Corporation'}"
"{'key': 'rank', 'value': '977'}","{'key': 'revenues', 'value': '1893.6'}","{'key': 'revChange', 'value': '3.3'}","{'key': 'profits', 'value': '74.9'}","{'key': 'prftChange', 'value': '-0.1'}","{'key': 'assets', 'value': '5316.2'}","{'key': 'totSHEqty', 'value': '2377.5'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '1.4'}","{'key': 'prftPctSHEqty', 'value': '3.1'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Mutual)'}","{'key': 'hqState', 'value': 'RI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amica Mutual Insurance Co.'}"
"{'key': 'rank', 'value': '978'}","{'key': 'revenues', 'value': '1888.3'}","{'key': 'revChange', 'value': ''}","{'key': 'profits', 'value': '1.8'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '315.8'}","{'key': 'totSHEqty', 'value': '14.5'}","{'key': 'mktVal', 'value': '172'}","{'key': 'prftPctSls', 'value': '172'}","{'key': 'prftPctAsts', 'value': '0.6'}","{'key': 'prftPctSHEqty', 'value': '12.1'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lehigh Gas Partners LP'}"
"{'key': 'rank', 'value': '979'}","{'key': 'revenues', 'value': '1882.8'}","{'key': 'revChange', 'value': '27.6'}","{'key': 'profits', 'value': '487.1'}","{'key': 'prftChange', 'value': '1124.1'}","{'key': 'assets', 'value': '6181'}","{'key': 'totSHEqty', 'value': '3121.7'}","{'key': 'mktVal', 'value': '5792.1'}","{'key': 'prftPctSls', 'value': '5792.1'}","{'key': 'prftPctAsts', 'value': '7.9'}","{'key': 'prftPctSHEqty', 'value': '15.6'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Toll Brothers, Inc.'}"
"{'key': 'rank', 'value': '980'}","{'key': 'revenues', 'value': '1879.8'}","{'key': 'revChange', 'value': '6.8'}","{'key': 'profits', 'value': '289.7'}","{'key': 'prftChange', 'value': '6.2'}","{'key': 'assets', 'value': '15462.3'}","{'key': 'totSHEqty', 'value': '5097.1'}","{'key': 'mktVal', 'value': '15324.7'}","{'key': 'prftPctSls', 'value': '15324.7'}","{'key': 'prftPctAsts', 'value': '1.9'}","{'key': 'prftPctSHEqty', 'value': '5.7'}","{'key': 'industry', 'value': 'Real estate'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Boston Properties, Inc.'}"
"{'key': 'rank', 'value': '981'}","{'key': 'revenues', 'value': '1874.3'}","{'key': 'revChange', 'value': '-2.8'}","{'key': 'profits', 'value': '64.1'}","{'key': 'prftChange', 'value': '61.6'}","{'key': 'assets', 'value': '1633.5'}","{'key': 'totSHEqty', 'value': '540.9'}","{'key': 'mktVal', 'value': '1211.2'}","{'key': 'prftPctSls', 'value': '1211.2'}","{'key': 'prftPctAsts', 'value': '3.9'}","{'key': 'prftPctSHEqty', 'value': '11.9'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqState', 'value': 'WA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Clearwater Paper Corporation'}"
