0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '784'}","{'key': 'revenues', 'value': '2623'}","{'key': 'revChange', 'value': '4.7'}","{'key': 'profits', 'value': '460'}","{'key': 'prftChange', 'value': '0.7'}","{'key': 'assets', 'value': '3820'}","{'key': 'totSHEqty', 'value': '2546'}","{'key': 'mktVal', 'value': '9352.5'}","{'key': 'prftPctSls', 'value': '9352.5'}","{'key': 'prftPctAsts', 'value': '12'}","{'key': 'prftPctSHEqty', 'value': '18.1'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sigma-Aldrich Corporation'}"
"{'key': 'rank', 'value': '785'}","{'key': 'revenues', 'value': '2604.8'}","{'key': 'revChange', 'value': '13.6'}","{'key': 'profits', 'value': '110.5'}","{'key': 'prftChange', 'value': '34.9'}","{'key': 'assets', 'value': '1333.8'}","{'key': 'totSHEqty', 'value': '808.6'}","{'key': 'mktVal', 'value': '1442.8'}","{'key': 'prftPctSls', 'value': '1442.8'}","{'key': 'prftPctAsts', 'value': '8.3'}","{'key': 'prftPctSHEqty', 'value': '13.7'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Genesco Inc.'}"
"{'key': 'rank', 'value': '786'}","{'key': 'revenues', 'value': '2604.6'}","{'key': 'revChange', 'value': '2.3'}","{'key': 'profits', 'value': '217'}","{'key': 'prftChange', 'value': '724.6'}","{'key': 'assets', 'value': '2889.9'}","{'key': 'totSHEqty', 'value': '918.4'}","{'key': 'mktVal', 'value': '3203.3'}","{'key': 'prftPctSls', 'value': '3203.3'}","{'key': 'prftPctAsts', 'value': '7.5'}","{'key': 'prftPctSHEqty', 'value': '23.6'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqState', 'value': 'CT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Crane Co.'}"
"{'key': 'rank', 'value': '768'}","{'key': 'revenues', 'value': '2715'}","{'key': 'revChange', 'value': '-8.1'}","{'key': 'profits', 'value': '-707.1'}","{'key': 'prftChange', 'value': '-210.9'}","{'key': 'assets', 'value': '6737.5'}","{'key': 'totSHEqty', 'value': '3035.9'}","{'key': 'mktVal', 'value': '13081.9'}","{'key': 'prftPctSls', 'value': '13081.9'}","{'key': 'prftPctAsts', 'value': '-10.5'}","{'key': 'prftPctSHEqty', 'value': '-23.3'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Southwestern Energy Company'}"
"{'key': 'rank', 'value': '769'}","{'key': 'revenues', 'value': '2711.1'}","{'key': 'revChange', 'value': '5.4'}","{'key': 'profits', 'value': '104.4'}","{'key': 'prftChange', 'value': '15.9'}","{'key': 'assets', 'value': '1671'}","{'key': 'totSHEqty', 'value': '1019'}","{'key': 'mktVal', 'value': '1967.2'}","{'key': 'prftPctSls', 'value': '1967.2'}","{'key': 'prftPctAsts', 'value': '6.2'}","{'key': 'prftPctSHEqty', 'value': '10.2'}","{'key': 'industry', 'value': 'Engineering, Construction'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tetra Tech, Inc.'}"
"{'key': 'rank', 'value': '770'}","{'key': 'revenues', 'value': '2701.4'}","{'key': 'revChange', 'value': '-1.9'}","{'key': 'profits', 'value': '82.5'}","{'key': 'prftChange', 'value': '9.2'}","{'key': 'assets', 'value': '1090.4'}","{'key': 'totSHEqty', 'value': '795.7'}","{'key': 'mktVal', 'value': '1094.8'}","{'key': 'prftPctSls', 'value': '1094.8'}","{'key': 'prftPctAsts', 'value': '7.6'}","{'key': 'prftPctSHEqty', 'value': '10.4'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Weis Markets, Inc.'}"
"{'key': 'rank', 'value': '771'}","{'key': 'revenues', 'value': '2701.1'}","{'key': 'revChange', 'value': '-9.8'}","{'key': 'profits', 'value': '651.2'}","{'key': 'prftChange', 'value': '-24.9'}","{'key': 'assets', 'value': '5620.3'}","{'key': 'totSHEqty', 'value': '4165.4'}","{'key': 'mktVal', 'value': '14225.2'}","{'key': 'prftPctSls', 'value': '14225.2'}","{'key': 'prftPctAsts', 'value': '11.6'}","{'key': 'prftPctSHEqty', 'value': '15.6'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqState', 'value': 'MA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Analog Devices, Inc.'}"
"{'key': 'rank', 'value': '772'}","{'key': 'revenues', 'value': '2681'}","{'key': 'revChange', 'value': '3.1'}","{'key': 'profits', 'value': '521'}","{'key': 'prftChange', 'value': '32.6'}","{'key': 'assets', 'value': '65359'}","{'key': 'totSHEqty', 'value': '6942'}","{'key': 'mktVal', 'value': '6746.7'}","{'key': 'prftPctSls', 'value': '6746.7'}","{'key': 'prftPctAsts', 'value': '0.8'}","{'key': 'prftPctSHEqty', 'value': '7.5'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Comerica Incorporated'}"
"{'key': 'rank', 'value': '773'}","{'key': 'revenues', 'value': '2674.5'}","{'key': 'revChange', 'value': '138.8'}","{'key': 'profits', 'value': '1735.9'}","{'key': 'prftChange', 'value': '403.9'}","{'key': 'assets', 'value': '133452.3'}","{'key': 'totSHEqty', 'value': '15924.4'}","{'key': 'mktVal', 'value': '15051.8'}","{'key': 'prftPctSls', 'value': '15051.8'}","{'key': 'prftPctAsts', 'value': '1.3'}","{'key': 'prftPctSHEqty', 'value': '10.9'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Annaly Capital Management, Inc.'}"
"{'key': 'rank', 'value': '774'}","{'key': 'revenues', 'value': '2665.4'}","{'key': 'revChange', 'value': '21'}","{'key': 'profits', 'value': '397.2'}","{'key': 'prftChange', 'value': '29.5'}","{'key': 'assets', 'value': '3704.5'}","{'key': 'totSHEqty', 'value': '2833.7'}","{'key': 'mktVal', 'value': '16315'}","{'key': 'prftPctSls', 'value': '16315'}","{'key': 'prftPctAsts', 'value': '10.7'}","{'key': 'prftPctSHEqty', 'value': '14'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cerner Corporation'}"
"{'key': 'rank', 'value': '775'}","{'key': 'revenues', 'value': '2665.2'}","{'key': 'revChange', 'value': '-17.7'}","{'key': 'profits', 'value': '168.7'}","{'key': 'prftChange', 'value': '-76.7'}","{'key': 'assets', 'value': '8004.7'}","{'key': 'totSHEqty', 'value': '5131.8'}","{'key': 'mktVal', 'value': '6730.9'}","{'key': 'prftPctSls', 'value': '6730.9'}","{'key': 'prftPctAsts', 'value': '2.1'}","{'key': 'prftPctSHEqty', 'value': '3.3'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lam Research Corporation'}"
"{'key': 'rank', 'value': '776'}","{'key': 'revenues', 'value': '2665'}","{'key': 'revChange', 'value': '12.8'}","{'key': 'profits', 'value': '419'}","{'key': 'prftChange', 'value': '18.7'}","{'key': 'assets', 'value': '3066'}","{'key': 'totSHEqty', 'value': '1779'}","{'key': 'mktVal', 'value': '9701'}","{'key': 'prftPctSls', 'value': '9701'}","{'key': 'prftPctAsts', 'value': '13.7'}","{'key': 'prftPctSHEqty', 'value': '23.6'}","{'key': 'industry', 'value': 'Computer Software'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Teradata Corporation'}"
"{'key': 'rank', 'value': '777'}","{'key': 'revenues', 'value': '2662.6'}","{'key': 'revChange', 'value': '-4.4'}","{'key': 'profits', 'value': '220.8'}","{'key': 'prftChange', 'value': '-13'}","{'key': 'assets', 'value': '8555.7'}","{'key': 'totSHEqty', 'value': '5677.3'}","{'key': 'mktVal', 'value': '4145.9'}","{'key': 'prftPctSls', 'value': '4145.9'}","{'key': 'prftPctAsts', 'value': '2.6'}","{'key': 'prftPctSHEqty', 'value': '3.9'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Legg Mason, Inc.'}"
"{'key': 'rank', 'value': '759'}","{'key': 'revenues', 'value': '2745.4'}","{'key': 'revChange', 'value': '-4.3'}","{'key': 'profits', 'value': '311.5'}","{'key': 'prftChange', 'value': '-28.6'}","{'key': 'assets', 'value': '3437.3'}","{'key': 'totSHEqty', 'value': '1833.6'}","{'key': 'mktVal', 'value': '5554.1'}","{'key': 'prftPctSls', 'value': '5554.1'}","{'key': 'prftPctAsts', 'value': '9.1'}","{'key': 'prftPctSHEqty', 'value': '17'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqState', 'value': 'LA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Albemarle Corporation'}"
"{'key': 'rank', 'value': '760'}","{'key': 'revenues', 'value': '2736.4'}","{'key': 'revChange', 'value': '18.4'}","{'key': 'profits', 'value': '179'}","{'key': 'prftChange', 'value': '49.5'}","{'key': 'assets', 'value': '3333'}","{'key': 'totSHEqty', 'value': '1091.2'}","{'key': 'mktVal', 'value': '4679.4'}","{'key': 'prftPctSls', 'value': '4679.4'}","{'key': 'prftPctAsts', 'value': '5.4'}","{'key': 'prftPctSHEqty', 'value': '16.4'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dresser-Rand Group Inc.'}"
"{'key': 'rank', 'value': '761'}","{'key': 'revenues', 'value': '2736.2'}","{'key': 'revChange', 'value': '13.8'}","{'key': 'profits', 'value': '307.2'}","{'key': 'prftChange', 'value': '33.7'}","{'key': 'assets', 'value': '3034.2'}","{'key': 'totSHEqty', 'value': '1643.9'}","{'key': 'mktVal', 'value': '3092.7'}","{'key': 'prftPctSls', 'value': '3092.7'}","{'key': 'prftPctAsts', 'value': '10.1'}","{'key': 'prftPctSHEqty', 'value': '18.7'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kennametal Inc.'}"
"{'key': 'rank', 'value': '762'}","{'key': 'revenues', 'value': '2734.6'}","{'key': 'revChange', 'value': '-4.4'}","{'key': 'profits', 'value': '131.3'}","{'key': 'prftChange', 'value': '16.8'}","{'key': 'assets', 'value': '2854.3'}","{'key': 'totSHEqty', 'value': '719.1'}","{'key': 'mktVal', 'value': '3301'}","{'key': 'prftPctSls', 'value': '3301'}","{'key': 'prftPctAsts', 'value': '4.6'}","{'key': 'prftPctSHEqty', 'value': '18.3'}","{'key': 'industry', 'value': 'Building Materials, Glass'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Armstrong World Industries, Inc.'}"
"{'key': 'rank', 'value': '763'}","{'key': 'revenues', 'value': '2731.2'}","{'key': 'revChange', 'value': '20.3'}","{'key': 'profits', 'value': '278'}","{'key': 'prftChange', 'value': '29.3'}","{'key': 'assets', 'value': '1668.7'}","{'key': 'totSHEqty', 'value': '1245.9'}","{'key': 'mktVal', 'value': '10112.4'}","{'key': 'prftPctSls', 'value': '10112.4'}","{'key': 'prftPctAsts', 'value': '16.7'}","{'key': 'prftPctSHEqty', 'value': '22.3'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Chipotle Mexican Grill, Inc.'}"
"{'key': 'rank', 'value': '764'}","{'key': 'revenues', 'value': '2731'}","{'key': 'revChange', 'value': '93'}","{'key': 'profits', 'value': '141.6'}","{'key': 'prftChange', 'value': '31'}","{'key': 'assets', 'value': '9790.7'}","{'key': 'totSHEqty', 'value': '2368.9'}","{'key': 'mktVal', 'value': '2603.3'}","{'key': 'prftPctSls', 'value': '2603.3'}","{'key': 'prftPctAsts', 'value': '1.4'}","{'key': 'prftPctSHEqty', 'value': '6'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqState', 'value': 'OK'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SandRidge Energy, Inc.'}"
"{'key': 'rank', 'value': '765'}","{'key': 'revenues', 'value': '2730.3'}","{'key': 'revChange', 'value': '19.7'}","{'key': 'profits', 'value': '690'}","{'key': 'prftChange', 'value': '20.8'}","{'key': 'assets', 'value': '3960.9'}","{'key': 'totSHEqty', 'value': '385.2'}","{'key': 'mktVal', 'value': '11922.4'}","{'key': 'prftPctSls', 'value': '11922.4'}","{'key': 'prftPctAsts', 'value': '17.4'}","{'key': 'prftPctSHEqty', 'value': '179.1'}","{'key': 'industry', 'value': 'Diversified Financials'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""Moody's Corporation""}"
"{'key': 'rank', 'value': '766'}","{'key': 'revenues', 'value': '2723.4'}","{'key': 'revChange', 'value': '6.1'}","{'key': 'profits', 'value': '299.5'}","{'key': 'prftChange', 'value': '-7.1'}","{'key': 'assets', 'value': '4556.9'}","{'key': 'totSHEqty', 'value': '2640.7'}","{'key': 'mktVal', 'value': '3478.9'}","{'key': 'prftPctSls', 'value': '3478.9'}","{'key': 'prftPctAsts', 'value': '6.6'}","{'key': 'prftPctSHEqty', 'value': '11.3'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Patterson-UTI Energy, Inc.'}"
"{'key': 'rank', 'value': '767'}","{'key': 'revenues', 'value': '2723'}","{'key': 'revChange', 'value': '5.3'}","{'key': 'profits', 'value': '513'}","{'key': 'prftChange', 'value': '-10.3'}","{'key': 'assets', 'value': '3477'}","{'key': 'totSHEqty', 'value': '2069'}","{'key': 'mktVal', 'value': '15252.2'}","{'key': 'prftPctSls', 'value': '15252.2'}","{'key': 'prftPctAsts', 'value': '14.8'}","{'key': 'prftPctSHEqty', 'value': '24.8'}","{'key': 'industry', 'value': 'Beverages'}","{'key': 'hqState', 'value': 'KY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brown-Forman Corporation'}"
"{'key': 'rank', 'value': '749'}","{'key': 'revenues', 'value': '2794.9'}","{'key': 'revChange', 'value': '13'}","{'key': 'profits', 'value': '237.3'}","{'key': 'prftChange', 'value': '28.1'}","{'key': 'assets', 'value': '1797.2'}","{'key': 'totSHEqty', 'value': '1354.6'}","{'key': 'mktVal', 'value': '5664.9'}","{'key': 'prftPctSls', 'value': '5664.9'}","{'key': 'prftPctAsts', 'value': '13.2'}","{'key': 'prftPctSHEqty', 'value': '17.5'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Urban Outfitters, Inc.'}"
"{'key': 'rank', 'value': '750'}","{'key': 'revenues', 'value': '2793.4'}","{'key': 'revChange', 'value': '5.4'}","{'key': 'profits', 'value': '129.8'}","{'key': 'prftChange', 'value': '14.8'}","{'key': 'assets', 'value': '879.4'}","{'key': 'totSHEqty', 'value': '379.5'}","{'key': 'mktVal', 'value': '2654.3'}","{'key': 'prftPctSls', 'value': '2654.3'}","{'key': 'prftPctAsts', 'value': '14.8'}","{'key': 'prftPctSHEqty', 'value': '34.2'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Landstar System, Inc.'}"
"{'key': 'rank', 'value': '751'}","{'key': 'revenues', 'value': '2783.4'}","{'key': 'revChange', 'value': '0.2'}","{'key': 'profits', 'value': '116.9'}","{'key': 'prftChange', 'value': '-38.8'}","{'key': 'assets', 'value': '4189.7'}","{'key': 'totSHEqty', 'value': '1842.5'}","{'key': 'mktVal', 'value': '2083.2'}","{'key': 'prftPctSls', 'value': '2083.2'}","{'key': 'prftPctAsts', 'value': '2.8'}","{'key': 'prftPctSHEqty', 'value': '6.3'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mercury General Corporation'}"
"{'key': 'rank', 'value': '752'}","{'key': 'revenues', 'value': '2782.6'}","{'key': 'revChange', 'value': '26.9'}","{'key': 'profits', 'value': '289'}","{'key': 'prftChange', 'value': '22.6'}","{'key': 'assets', 'value': '2768.1'}","{'key': 'totSHEqty', 'value': '1815.5'}","{'key': 'mktVal', 'value': '7182.3'}","{'key': 'prftPctSls', 'value': '7182.3'}","{'key': 'prftPctAsts', 'value': '10.4'}","{'key': 'prftPctSHEqty', 'value': '15.9'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Oceaneering International, Inc.'}"
"{'key': 'rank', 'value': '753'}","{'key': 'revenues', 'value': '2780'}","{'key': 'revChange', 'value': '-3.1'}","{'key': 'profits', 'value': '-112'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '5278'}","{'key': 'totSHEqty', 'value': '927'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '-2.1'}","{'key': 'prftPctSHEqty', 'value': '-12.1'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Warner Music Group Corp.'}"
"{'key': 'rank', 'value': '754'}","{'key': 'revenues', 'value': '2779.1'}","{'key': 'revChange', 'value': '23.6'}","{'key': 'profits', 'value': '41.5'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '836.4'}","{'key': 'totSHEqty', 'value': '97.8'}","{'key': 'mktVal', 'value': '1467.2'}","{'key': 'prftPctSls', 'value': '1467.2'}","{'key': 'prftPctAsts', 'value': '5'}","{'key': 'prftPctSHEqty', 'value': '42.4'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqState', 'value': 'ID'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Boise Cascade Company'}"
"{'key': 'rank', 'value': '755'}","{'key': 'revenues', 'value': '2770.1'}","{'key': 'revChange', 'value': '12.7'}","{'key': 'profits', 'value': '-65.6'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '4666'}","{'key': 'totSHEqty', 'value': '1002.7'}","{'key': 'mktVal', 'value': '3421.9'}","{'key': 'prftPctSls', 'value': '3421.9'}","{'key': 'prftPctAsts', 'value': '-1.4'}","{'key': 'prftPctSHEqty', 'value': '-6.5'}","{'key': 'industry', 'value': 'Health Care: Medical Facilities'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brookdale Senior Living Inc.'}"
"{'key': 'rank', 'value': '756'}","{'key': 'revenues', 'value': '2761'}","{'key': 'revChange', 'value': '-4.4'}","{'key': 'profits', 'value': '-1515.7'}","{'key': 'prftChange', 'value': '-760.4'}","{'key': 'assets', 'value': '2839.1'}","{'key': 'totSHEqty', 'value': '496.6'}","{'key': 'mktVal', 'value': '457.3'}","{'key': 'prftPctSls', 'value': '457.3'}","{'key': 'prftPctAsts', 'value': '-53.4'}","{'key': 'prftPctSHEqty', 'value': '-305.2'}","{'key': 'industry', 'value': 'Education'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Education Management Corporation'}"
"{'key': 'rank', 'value': '757'}","{'key': 'revenues', 'value': '2759.5'}","{'key': 'revChange', 'value': '-0.6'}","{'key': 'profits', 'value': '41.8'}","{'key': 'prftChange', 'value': '-54.5'}","{'key': 'assets', 'value': '3025.2'}","{'key': 'totSHEqty', 'value': '658'}","{'key': 'mktVal', 'value': '612.8'}","{'key': 'prftPctSls', 'value': '612.8'}","{'key': 'prftPctAsts', 'value': '1.4'}","{'key': 'prftPctSHEqty', 'value': '6.4'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqState', 'value': 'AZ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amkor Technology, Inc.'}"
"{'key': 'rank', 'value': '758'}","{'key': 'revenues', 'value': '2749.5'}","{'key': 'revChange', 'value': '12.8'}","{'key': 'profits', 'value': '56.7'}","{'key': 'prftChange', 'value': '177.9'}","{'key': 'assets', 'value': '1701'}","{'key': 'totSHEqty', 'value': '708.6'}","{'key': 'mktVal', 'value': '1843.7'}","{'key': 'prftPctSls', 'value': '1843.7'}","{'key': 'prftPctAsts', 'value': '3.3'}","{'key': 'prftPctSHEqty', 'value': '8'}","{'key': 'industry', 'value': 'Home Equipment, Furnishings'}","{'key': 'hqState', 'value': 'MI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Steelcase Inc.'}"
"{'key': 'rank', 'value': '740'}","{'key': 'revenues', 'value': '2843.9'}","{'key': 'revChange', 'value': '8.5'}","{'key': 'profits', 'value': '163.8'}","{'key': 'prftChange', 'value': '3.7'}","{'key': 'assets', 'value': '2453.8'}","{'key': 'totSHEqty', 'value': '969.5'}","{'key': 'mktVal', 'value': '4405.1'}","{'key': 'prftPctSls', 'value': '4405.1'}","{'key': 'prftPctAsts', 'value': '6.7'}","{'key': 'prftPctSHEqty', 'value': '16.9'}","{'key': 'industry', 'value': 'Packaging, Containers'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Packaging Corporation of America'}"
"{'key': 'rank', 'value': '741'}","{'key': 'revenues', 'value': '2838.1'}","{'key': 'revChange', 'value': '3.9'}","{'key': 'profits', 'value': '-458.8'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '10420.4'}","{'key': 'totSHEqty', 'value': '2682.1'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '-4.4'}","{'key': 'prftPctSHEqty', 'value': '-17.1'}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqState', 'value': 'IN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'LVB Acquisition, Inc.'}"
"{'key': 'rank', 'value': '742'}","{'key': 'revenues', 'value': '2824.2'}","{'key': 'revChange', 'value': '5.3'}","{'key': 'profits', 'value': '144.8'}","{'key': 'prftChange', 'value': '259.3'}","{'key': 'assets', 'value': '2209.5'}","{'key': 'totSHEqty', 'value': '-696.8'}","{'key': 'mktVal', 'value': '2597.2'}","{'key': 'prftPctSls', 'value': '2597.2'}","{'key': 'prftPctAsts', 'value': '6.6'}","{'key': 'prftPctSHEqty', 'value': ''}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Regal Entertainment Group'}"
"{'key': 'rank', 'value': '743'}","{'key': 'revenues', 'value': '2821.4'}","{'key': 'revChange', 'value': '1.2'}","{'key': 'profits', 'value': '254.1'}","{'key': 'prftChange', 'value': '-4.8'}","{'key': 'assets', 'value': '3249.6'}","{'key': 'totSHEqty', 'value': '1248.8'}","{'key': 'mktVal', 'value': '6247.8'}","{'key': 'prftPctSls', 'value': '6247.8'}","{'key': 'prftPctAsts', 'value': '7.8'}","{'key': 'prftPctSHEqty', 'value': '20.4'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'International Flavors &amp; Fragrances Inc.'}"
"{'key': 'rank', 'value': '744'}","{'key': 'revenues', 'value': '2820.7'}","{'key': 'revChange', 'value': '2.1'}","{'key': 'profits', 'value': '151.2'}","{'key': 'prftChange', 'value': '7.2'}","{'key': 'assets', 'value': '1436.1'}","{'key': 'totSHEqty', 'value': '309.9'}","{'key': 'mktVal', 'value': '2664.9'}","{'key': 'prftPctSls', 'value': '2664.9'}","{'key': 'prftPctAsts', 'value': '10.5'}","{'key': 'prftPctSHEqty', 'value': '48.8'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brinker International, Inc.'}"
