0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"{'key': 'rank', 'value': '728'}","{'key': 'revenues', 'value': '3126'}","{'key': 'revchange', 'value': '19.7'}","{'key': 'profits', 'value': '151'}","{'key': 'prftchange', 'value': '10.9'}","{'key': 'assets', 'value': '2296'}","{'key': 'employees', 'value': '7000'}","{'key': 'mktval', 'value': '1732'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqcity', 'value': 'Columbus'}","{'key': 'hqstate', 'value': 'OH'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Materials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Worthington Industries'}"
"{'key': 'rank', 'value': '727'}","{'key': 'revenues', 'value': '3129'}","{'key': 'revchange', 'value': '12.9'}","{'key': 'profits', 'value': '787'}","{'key': 'prftchange', 'value': '16.6'}","{'key': 'assets', 'value': '23831'}","{'key': 'employees', 'value': '5771'}","{'key': 'mktval', 'value': '20252'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqcity', 'value': 'Omaha'}","{'key': 'hqstate', 'value': 'NE'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Financials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'TD Ameritrade Holding'}"
"{'key': 'rank', 'value': '726'}","{'key': 'revenues', 'value': '3129'}","{'key': 'revchange', 'value': '5.9'}","{'key': 'profits', 'value': '130'}","{'key': 'prftchange', 'value': '19.3'}","{'key': 'assets', 'value': '3635'}","{'key': 'employees', 'value': '21900'}","{'key': 'mktval', 'value': '2096'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqcity', 'value': 'Tempe'}","{'key': 'hqstate', 'value': 'AZ'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Amkor Technology'}"
"{'key': 'rank', 'value': '725'}","{'key': 'revenues', 'value': '3143'}","{'key': 'revchange', 'value': '7.7'}","{'key': 'profits', 'value': '252'}","{'key': 'prftchange', 'value': '-25.9'}","{'key': 'assets', 'value': '5512'}","{'key': 'employees', 'value': '10081'}","{'key': 'mktval', 'value': '10208'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqcity', 'value': 'Fort Lauderdale'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Citrix Systems'}"
"{'key': 'rank', 'value': '724'}","{'key': 'revenues', 'value': '3147'}","{'key': 'revchange', 'value': '-24.7'}","{'key': 'profits', 'value': '-224'}","{'key': 'prftchange', 'value': '-455.6'}","{'key': 'assets', 'value': '6507'}","{'key': 'employees', 'value': '13000'}","{'key': 'mktval', 'value': ''}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqcity', 'value': 'Wayne'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Business Services'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SunGard Data Systems'}"
"{'key': 'rank', 'value': '723'}","{'key': 'revenues', 'value': '3158'}","{'key': 'revchange', 'value': '1.7'}","{'key': 'profits', 'value': '96'}","{'key': 'prftchange', 'value': '-24.8'}","{'key': 'assets', 'value': '3271'}","{'key': 'employees', 'value': '22200'}","{'key': 'mktval', 'value': '1455'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqcity', 'value': 'Plano'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Retailing'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Rent-A-Center'}"
"{'key': 'rank', 'value': '722'}","{'key': 'revenues', 'value': '3162'}","{'key': 'revchange', 'value': '13.6'}","{'key': 'profits', 'value': '190'}","{'key': 'prftchange', 'value': '25.8'}","{'key': 'assets', 'value': '3823'}","{'key': 'employees', 'value': '24500'}","{'key': 'mktval', 'value': '5223'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqcity', 'value': 'Phoenix'}","{'key': 'hqstate', 'value': 'AZ'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ON Semiconductor'}"
"{'key': 'rank', 'value': '721'}","{'key': 'revenues', 'value': '3166'}","{'key': 'revchange', 'value': '63.4'}","{'key': 'profits', 'value': '731'}","{'key': 'prftchange', 'value': '62.4'}","{'key': 'assets', 'value': '10219'}","{'key': 'employees', 'value': '748'}","{'key': 'mktval', 'value': '2574'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqcity', 'value': 'Houston'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'EP Energy'}"
"{'key': 'rank', 'value': '720'}","{'key': 'revenues', 'value': '3182'}","{'key': 'revchange', 'value': '17.2'}","{'key': 'profits', 'value': '163'}","{'key': 'prftchange', 'value': '-13.5'}","{'key': 'assets', 'value': '5394'}","{'key': 'employees', 'value': '7900'}","{'key': 'mktval', 'value': '2750'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqcity', 'value': 'Houston'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Patterson-UTI Energy'}"
"{'key': 'rank', 'value': '719'}","{'key': 'revenues', 'value': '3185'}","{'key': 'revchange', 'value': '18.6'}","{'key': 'profits', 'value': '139'}","{'key': 'prftchange', 'value': '-4.9'}","{'key': 'assets', 'value': '1044'}","{'key': 'employees', 'value': '1211'}","{'key': 'mktval', 'value': '2970'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqcity', 'value': 'Jacksonville'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Transportation'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Landstar System'}"
"{'key': 'rank', 'value': '718'}","{'key': 'revenues', 'value': '3192'}","{'key': 'revchange', 'value': '24'}","{'key': 'profits', 'value': '-73'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '2228'}","{'key': 'employees', 'value': '11843'}","{'key': 'mktval', 'value': '4869'}","{'key': 'industry', 'value': 'Internet Services and Retailing'}","{'key': 'hqcity', 'value': 'Chicago'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Groupon'}"
"{'key': 'rank', 'value': '717'}","{'key': 'revenues', 'value': '3198'}","{'key': 'revchange', 'value': '58.8'}","{'key': 'profits', 'value': '-294'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '5849'}","{'key': 'employees', 'value': '10161'}","{'key': 'mktval', 'value': '23740'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqcity', 'value': 'Palo Alto'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Motor Vehicles & Parts'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tesla Motors'}"
"{'key': 'rank', 'value': '716'}","{'key': 'revenues', 'value': '3201'}","{'key': 'revchange', 'value': '-7.4'}","{'key': 'profits', 'value': '71'}","{'key': 'prftchange', 'value': '-57.8'}","{'key': 'assets', 'value': '871'}","{'key': 'employees', 'value': '3051'}","{'key': 'mktval', 'value': ''}","{'key': 'industry', 'value': 'Petroleum Refining'}","{'key': 'hqcity', 'value': 'Warren'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Refining'}"
"{'key': 'rank', 'value': '715'}","{'key': 'revenues', 'value': '3204'}","{'key': 'revchange', 'value': '-13.7'}","{'key': 'profits', 'value': '251'}","{'key': 'prftchange', 'value': '19.8'}","{'key': 'assets', 'value': '3759'}","{'key': 'employees', 'value': '11000'}","{'key': 'mktval', 'value': '6036'}","{'key': 'industry', 'value': 'Building Materials, Glass'}","{'key': 'hqcity', 'value': 'Charlotte'}","{'key': 'hqstate', 'value': 'NC'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Materials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Carlisle'}"
"{'key': 'rank', 'value': '714'}","{'key': 'revenues', 'value': '3206'}","{'key': 'revchange', 'value': '1.4'}","{'key': 'profits', 'value': '-44'}","{'key': 'prftchange', 'value': '-134.1'}","{'key': 'assets', 'value': '4878'}","{'key': 'employees', 'value': '13500'}","{'key': 'mktval', 'value': ''}","{'key': 'industry', 'value': 'Pharmaceuticals'}","{'key': 'hqcity', 'value': 'Ronkonkoma'}","{'key': 'hqstate', 'value': 'NY'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Health Care'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NBTY'}"
"{'key': 'rank', 'value': '713'}","{'key': 'revenues', 'value': '3223'}","{'key': 'revchange', 'value': '5.6'}","{'key': 'profits', 'value': '76'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '9767'}","{'key': 'employees', 'value': '9279'}","{'key': 'mktval', 'value': ''}","{'key': 'industry', 'value': 'Medical Products and Equipment'}","{'key': 'hqcity', 'value': 'Warsaw'}","{'key': 'hqstate', 'value': 'IN'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Health Care'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'LVB Acquisition'}"
"{'key': 'rank', 'value': '712'}","{'key': 'revenues', 'value': '3236'}","{'key': 'revchange', 'value': '6.4'}","{'key': 'profits', 'value': '160'}","{'key': 'prftchange', 'value': '267.6'}","{'key': 'assets', 'value': '1829'}","{'key': 'employees', 'value': '840'}","{'key': 'mktval', 'value': '1074'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqcity', 'value': 'Omaha'}","{'key': 'hqstate', 'value': 'NE'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Green Plains'}"
"{'key': 'rank', 'value': '711'}","{'key': 'revenues', 'value': '3237'}","{'key': 'revchange', 'value': '-1.8'}","{'key': 'profits', 'value': '-24'}","{'key': 'prftchange', 'value': '-141'}","{'key': 'assets', 'value': '4410'}","{'key': 'employees', 'value': '18500'}","{'key': 'mktval', 'value': '754'}","{'key': 'industry', 'value': 'Airlines'}","{'key': 'hqcity', 'value': 'St. George'}","{'key': 'hqstate', 'value': 'UT'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Transportation'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SkyWest'}"
"{'key': 'rank', 'value': '710'}","{'key': 'revenues', 'value': '3240'}","{'key': 'revchange', 'value': ''}","{'key': 'profits', 'value': '168'}","{'key': 'prftchange', 'value': '4.2'}","{'key': 'assets', 'value': '11184'}","{'key': 'employees', 'value': '3965'}","{'key': 'mktval', 'value': '3450'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'Honolulu'}","{'key': 'hqstate', 'value': 'HI'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'yes'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hawaiian Electric Industries'}"
"{'key': 'rank', 'value': '709'}","{'key': 'revenues', 'value': '3241'}","{'key': 'revchange', 'value': '21.4'}","{'key': 'profits', 'value': '257'}","{'key': 'prftchange', 'value': '26.8'}","{'key': 'assets', 'value': '1983'}","{'key': 'employees', 'value': '15250'}","{'key': 'mktval', 'value': '9689'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqcity', 'value': 'Bolingbrook'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'yes'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Retailing'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Ulta Salon Cosmetics &amp; Fragrance'}"
"{'key': 'rank', 'value': '708'}","{'key': 'revenues', 'value': '3243'}","{'key': 'revchange', 'value': '6'}","{'key': 'profits', 'value': '276'}","{'key': 'prftchange', 'value': '7.9'}","{'key': 'assets', 'value': '4095'}","{'key': 'employees', 'value': '6500'}","{'key': 'mktval', 'value': '7219'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Columbia'}","{'key': 'hqstate', 'value': 'MD'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Chemicals'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'W.R. Grace'}"
"{'key': 'rank', 'value': '707'}","{'key': 'revenues', 'value': '3244'}","{'key': 'revchange', 'value': '5'}","{'key': 'profits', 'value': '43'}","{'key': 'prftchange', 'value': '-10.8'}","{'key': 'assets', 'value': '2133'}","{'key': 'employees', 'value': '27000'}","{'key': 'mktval', 'value': '1009'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqcity', 'value': 'Novi'}","{'key': 'hqstate', 'value': 'MI'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Motor Vehicles & Parts'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cooper-Standard Holdings'}"
"{'key': 'rank', 'value': '706'}","{'key': 'revenues', 'value': '3253'}","{'key': 'revchange', 'value': '31.5'}","{'key': 'profits', 'value': ''}","{'key': 'prftchange', 'value': '-100.5'}","{'key': 'assets', 'value': '3547'}","{'key': 'employees', 'value': '22350'}","{'key': 'mktval', 'value': '2513'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqcity', 'value': 'Houston'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Retailing'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tailored Brands'}"
"{'key': 'rank', 'value': '705'}","{'key': 'revenues', 'value': '3257'}","{'key': 'revchange', 'value': '5.2'}","{'key': 'profits', 'value': '31'}","{'key': 'prftchange', 'value': '-74.2'}","{'key': 'assets', 'value': '3408'}","{'key': 'employees', 'value': '24100'}","{'key': 'mktval', 'value': '3573'}","{'key': 'industry', 'value': 'Electronics, Electrical Equip.'}","{'key': 'hqcity', 'value': 'Beloit'}","{'key': 'hqstate', 'value': 'WI'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Industrials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Regal Beloit'}"
"{'key': 'rank', 'value': '704'}","{'key': 'revenues', 'value': '3272'}","{'key': 'revchange', 'value': '-55.8'}","{'key': 'profits', 'value': '126'}","{'key': 'prftchange', 'value': '-43.1'}","{'key': 'assets', 'value': '53344'}","{'key': 'employees', 'value': '927'}","{'key': 'mktval', 'value': '7896'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqcity', 'value': 'Los Angeles'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Financials'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Oaktree Capital Group'}"
"{'key': 'rank', 'value': '703'}","{'key': 'revenues', 'value': '3283'}","{'key': 'revchange', 'value': '-0.7'}","{'key': 'profits', 'value': '80'}","{'key': 'prftchange', 'value': '-3.2'}","{'key': 'assets', 'value': '1697'}","{'key': 'employees', 'value': '22500'}","{'key': 'mktval', 'value': '3331'}","{'key': 'industry', 'value': 'Specialty Retailers: Apparel'}","{'key': 'hqcity', 'value': 'Pittsburgh'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Retailing'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Eagle Outfitters'}"
"{'key': 'rank', 'value': '702'}","{'key': 'revenues', 'value': '3298'}","{'key': 'revchange', 'value': '3.2'}","{'key': 'profits', 'value': '414'}","{'key': 'prftchange', 'value': '4.9'}","{'key': 'assets', 'value': '4381'}","{'key': 'employees', 'value': '4145'}","{'key': 'mktval', 'value': '11166'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqcity', 'value': 'Ewing'}","{'key': 'hqstate', 'value': 'NJ'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Household Products'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Church &amp; Dwight'}"
