0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"{'key': 'rank', 'value': '889'}","{'key': 'revenues', 'value': '2424'}","{'key': 'revchange', 'value': '21.3'}","{'key': 'profits', 'value': '507'}","{'key': 'prftchange', 'value': '-10.2'}","{'key': 'assets', 'value': '8725'}","{'key': 'employees', 'value': '991'}","{'key': 'mktval', 'value': '10082'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqcity', 'value': 'Denver'}","{'key': 'hqstate', 'value': 'CO'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Cimarex Energy'}"
"{'key': 'rank', 'value': '888'}","{'key': 'revenues', 'value': '2435'}","{'key': 'revchange', 'value': '-3.3'}","{'key': 'profits', 'value': '636'}","{'key': 'prftchange', 'value': '55.2'}","{'key': 'assets', 'value': '12728'}","{'key': 'employees', 'value': '1523'}","{'key': 'mktval', 'value': '2600'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqcity', 'value': 'Plano'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Denbury Resources'}"
"{'key': 'rank', 'value': '887'}","{'key': 'revenues', 'value': '2435'}","{'key': 'revchange', 'value': '25.6'}","{'key': 'profits', 'value': '216'}","{'key': 'prftchange', 'value': '14.4'}","{'key': 'assets', 'value': '4174'}","{'key': 'employees', 'value': '1250'}","{'key': 'mktval', 'value': '2452'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqcity', 'value': 'Irvine'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Engineering & Construction'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CalAtlantic Group'}"
"{'key': 'rank', 'value': '886'}","{'key': 'revenues', 'value': '2436'}","{'key': 'revchange', 'value': '5.3'}","{'key': 'profits', 'value': '367'}","{'key': 'prftchange', 'value': '4.4'}","{'key': 'assets', 'value': '4674'}","{'key': 'employees', 'value': '7500'}","{'key': 'mktval', 'value': '11098'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqcity', 'value': 'Atlanta'}","{'key': 'hqstate', 'value': 'GA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Business Services'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Equifax'}"
"{'key': 'rank', 'value': '885'}","{'key': 'revenues', 'value': '2439'}","{'key': 'revchange', 'value': '13.2'}","{'key': 'profits', 'value': '317'}","{'key': 'prftchange', 'value': '13.1'}","{'key': 'assets', 'value': '3609'}","{'key': 'employees', 'value': '7550'}","{'key': 'mktval', 'value': '6961'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqcity', 'value': 'Sunrise'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Health Care'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mednax'}"
"{'key': 'rank', 'value': '884'}","{'key': 'revenues', 'value': '2444'}","{'key': 'revchange', 'value': '13.5'}","{'key': 'profits', 'value': '-260'}","{'key': 'prftchange', 'value': '-374.1'}","{'key': 'assets', 'value': '7817'}","{'key': 'employees', 'value': '3866'}","{'key': 'mktval', 'value': '13150'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqcity', 'value': 'Redwood City'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'no'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Telecommunications'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Equinix'}"
"{'key': 'rank', 'value': '883'}","{'key': 'revenues', 'value': '2448'}","{'key': 'revchange', 'value': '13.2'}","{'key': 'profits', 'value': '56'}","{'key': 'prftchange', 'value': '115.3'}","{'key': 'assets', 'value': '1513'}","{'key': 'employees', 'value': '3900'}","{'key': 'mktval', 'value': '1403'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Fairlawn'}","{'key': 'hqstate', 'value': 'OH'}","{'key': 'rankgain', 'value': 'yes'}","{'key': 'rankdrop', 'value': 'no'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Chemicals'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'A. Schulman'}"
"{'key': 'rank', 'value': '882'}","{'key': 'revenues', 'value': '2453'}","{'key': 'revchange', 'value': '-14.5'}","{'key': 'profits', 'value': '396'}","{'key': 'prftchange', 'value': '2.1'}","{'key': 'assets', 'value': '9528'}","{'key': 'employees', 'value': '3329'}","{'key': 'mktval', 'value': '6306'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqcity', 'value': 'Oklahoma City'}","{'key': 'hqstate', 'value': 'OK'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Energy'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'OGE Energy'}"
"{'key': 'rank', 'value': '881'}","{'key': 'revenues', 'value': '2454'}","{'key': 'revchange', 'value': '0.5'}","{'key': 'profits', 'value': '355'}","{'key': 'prftchange', 'value': '-22'}","{'key': 'assets', 'value': '4406'}","{'key': 'employees', 'value': '8812'}","{'key': 'mktval', 'value': '9847'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqcity', 'value': 'San Jose'}","{'key': 'hqstate', 'value': 'CA'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'sector', 'value': 'Technology'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Maxim Integrated Products'}"
"{'key': 'rank', 'value': '880'}","{'key': 'revenues', 'value': '2460'}","{'key': 'revchange', 'value': '-0.1'}","{'key': 'profits', 'value': '113'}","{'key': 'prftchange', 'value': '-4.5'}","{'key': 'assets', 'value': '1334'}","{'key': 'employees', 'value': '5472'}","{'key': 'mktval', 'value': '1864'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqcity', 'value': 'Cleveland'}","{'key': 'hqstate', 'value': 'OH'}","{'key': 'rankgain', 'value': 'no'}","{'key': 'rankdrop', 'value': 'yes'}","{'key': 'newcomer', 'value': 'no'}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceoforeign', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'sector', 'value': 'Wholesalers'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Applied Industrial Technologies'}"
