0,1,2,3,4,5,6,7,8,9,10
"{'key': 'rank', 'value': '100'}","{'key': 'revenues', 'value': '27519'}","{'key': 'revchange', 'value': '9.6'}","{'key': 'profits', 'value': '3751'}","{'key': 'prftchange', 'value': '-7.4'}","{'key': 'assets', 'value': '357033'}","{'key': 'mktval', 'value': '41831'}","{'key': 'employees', 'value': '47300'}","{'key': 'rankchange1000', 'value': '12'}","{'key': 'rankchange', 'value': '12'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Capital One Financial'}"
"{'key': 'rank', 'value': '99'}","{'key': 'revenues', 'value': '27625'}","{'key': 'revchange', 'value': '3.1'}","{'key': 'profits', 'value': '3014'}","{'key': 'prftchange', 'value': '-12.4'}","{'key': 'assets', 'value': '100245'}","{'key': 'mktval', 'value': '33689'}","{'key': 'employees', 'value': '30900'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Travelers Cos.'}"
"{'key': 'rank', 'value': '98'}","{'key': 'revenues', 'value': '27638'}","{'key': 'revchange', 'value': '54.2'}","{'key': 'profits', 'value': '10217'}","{'key': 'prftchange', 'value': '177'}","{'key': 'assets', 'value': '64961'}","{'key': 'mktval', 'value': '410522'}","{'key': 'employees', 'value': '17048'}","{'key': 'rankchange1000', 'value': '59'}","{'key': 'rankchange', 'value': '59'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Facebook'}"
"{'key': 'rank', 'value': '97'}","{'key': 'revenues', 'value': '28799'}","{'key': 'revchange', 'value': '2.4'}","{'key': 'profits', 'value': '818'}","{'key': 'prftchange', 'value': '0.4'}","{'key': 'assets', 'value': '250441'}","{'key': 'mktval', 'value': ''}","{'key': 'employees', 'value': '5646'}","{'key': 'rankchange1000', 'value': '3'}","{'key': 'rankchange', 'value': '3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Northwestern Mutual'}"
"{'key': 'rank', 'value': '96'}","{'key': 'revenues', 'value': '29003'}","{'key': 'revchange', 'value': '197.3'}","{'key': 'profits', 'value': '3522'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '149067'}","{'key': 'mktval', 'value': '100595'}","{'key': 'employees', 'value': '91500'}","{'key': 'rankchange1000', 'value': '196'}","{'key': 'rankchange', 'value': '196'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Charter Communications'}"
"{'key': 'rank', 'value': '95'}","{'key': 'revenues', 'value': '29318'}","{'key': 'revchange', 'value': '4.3'}","{'key': 'profits', 'value': '3926'}","{'key': 'prftchange', 'value': '2.4'}","{'key': 'assets', 'value': '65966'}","{'key': 'mktval', 'value': '75660'}","{'key': 'employees', 'value': '25000'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Time Warner'}"
"{'key': 'rank', 'value': '94'}","{'key': 'revenues', 'value': '30109'}","{'key': 'revchange', 'value': '-0.5'}","{'key': 'profits', 'value': '5050'}","{'key': 'prftchange', 'value': '4.5'}","{'key': 'assets', 'value': '32906'}","{'key': 'mktval', 'value': '114338'}","{'key': 'employees', 'value': '91584'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': '3M'}"
"{'key': 'rank', 'value': '93'}","{'key': 'revenues', 'value': '30347'}","{'key': 'revchange', 'value': '-12.2'}","{'key': 'profits', 'value': '424.2'}","{'key': 'prftchange', 'value': '-45.7'}","{'key': 'assets', 'value': '17318'}","{'key': 'mktval', 'value': ''}","{'key': 'employees', 'value': '12157'}","{'key': 'rankchange1000', 'value': '-9'}","{'key': 'rankchange', 'value': '-9'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'CHS'}"
"{'key': 'rank', 'value': '92'}","{'key': 'revenues', 'value': '30390'}","{'key': 'revchange', 'value': '-6.9'}","{'key': 'profits', 'value': '13501'}","{'key': 'prftchange', 'value': '-25.4'}","{'key': 'assets', 'value': '56977'}","{'key': 'mktval', 'value': '88788'}","{'key': 'employees', 'value': '9000'}","{'key': 'rankchange1000', 'value': '-6'}","{'key': 'rankchange', 'value': '-6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Gilead Sciences'}"
"{'key': 'rank', 'value': '91'}","{'key': 'revenues', 'value': '30737'}","{'key': 'revchange', 'value': '15.9'}","{'key': 'profits', 'value': '165.5'}","{'key': 'prftchange', 'value': '-92.2'}","{'key': 'assets', 'value': '11277'}","{'key': 'mktval', 'value': '4473'}","{'key': 'employees', 'value': '70580'}","{'key': 'rankchange1000', 'value': '16'}","{'key': 'rankchange', 'value': '16'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Rite Aid'}"
"{'key': 'rank', 'value': '90'}","{'key': 'revenues', 'value': '31353'}","{'key': 'revchange', 'value': '-0.4'}","{'key': 'profits', 'value': '2955'}","{'key': 'prftchange', 'value': '-0.3'}","{'key': 'assets', 'value': '32872'}","{'key': 'mktval', 'value': '56791'}","{'key': 'employees', 'value': '98800'}","{'key': 'rankchange1000', 'value': '-2'}","{'key': 'rankchange', 'value': '-2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'General Dynamics'}"
"{'key': 'rank', 'value': '89'}","{'key': 'revenues', 'value': '31360'}","{'key': 'revchange', 'value': '6.5'}","{'key': 'profits', 'value': '1134'}","{'key': 'prftchange', 'value': '-50'}","{'key': 'assets', 'value': '114904'}","{'key': 'mktval', 'value': '33309'}","{'key': 'employees', 'value': '34396'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Exelon'}"
"{'key': 'rank', 'value': '88'}","{'key': 'revenues', 'value': '32376'}","{'key': 'revchange', 'value': '5.8'}","{'key': 'profits', 'value': '3760'}","{'key': 'prftchange', 'value': '14.9'}","{'key': 'assets', 'value': '21396'}","{'key': 'mktval', 'value': '92204'}","{'key': 'employees', 'value': '70700'}","{'key': 'rankchange1000', 'value': '3'}","{'key': 'rankchange', 'value': '3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Nike'}"
"{'key': 'rank', 'value': '87'}","{'key': 'revenues', 'value': '33184'}","{'key': 'revchange', 'value': '7.2'}","{'key': 'profits', 'value': '2298.2'}","{'key': 'prftchange', 'value': '0.9'}","{'key': 'assets', 'value': '12884'}","{'key': 'mktval', 'value': '51053'}","{'key': 'employees', 'value': '235000'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'TJX'}"
"{'key': 'rank', 'value': '86'}","{'key': 'revenues', 'value': '33823'}","{'key': 'revchange', 'value': '-1.8'}","{'key': 'profits', 'value': '5408'}","{'key': 'prftchange', 'value': '4.7'}","{'key': 'assets', 'value': '158893'}","{'key': 'mktval', 'value': '71193'}","{'key': 'employees', 'value': '56400'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'American Express'}"
"{'key': 'rank', 'value': '85'}","{'key': 'revenues', 'value': '34274'}","{'key': 'revchange', 'value': '5.1'}","{'key': 'profits', 'value': '2025.7'}","{'key': 'prftchange', 'value': '3.1'}","{'key': 'assets', 'value': '17464'}","{'key': 'mktval', 'value': ''}","{'key': 'employees', 'value': '191000'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Publix Super Markets'}"
"{'key': 'rank', 'value': '84'}","{'key': 'revenues', 'value': '36534'}","{'key': 'revchange', 'value': '2.5'}","{'key': 'profits', 'value': '1877'}","{'key': 'prftchange', 'value': '-13.5'}","{'key': 'assets', 'value': '108610'}","{'key': 'mktval', 'value': '29754'}","{'key': 'employees', 'value': '43275'}","{'key': 'rankchange1000', 'value': '-3'}","{'key': 'rankchange', 'value': '-3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Allstate'}"
"{'key': 'rank', 'value': '83'}","{'key': 'revenues', 'value': '36556'}","{'key': 'revchange', 'value': '-3.5'}","{'key': 'profits', 'value': '2263'}","{'key': 'prftchange', 'value': '-69.2'}","{'key': 'assets', 'value': '40140'}","{'key': 'mktval', 'value': '22225'}","{'key': 'employees', 'value': '88000'}","{'key': 'rankchange1000', 'value': '-3'}","{'key': 'rankchange', 'value': '-3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'United Continental Holdings'}"
"{'key': 'rank', 'value': '82'}","{'key': 'revenues', 'value': '36881'}","{'key': 'revchange', 'value': '-10.9'}","{'key': 'profits', 'value': '1768'}","{'key': 'prftchange', 'value': '44.9'}","{'key': 'assets', 'value': '22373'}","{'key': 'mktval', 'value': '22028'}","{'key': 'employees', 'value': '114000'}","{'key': 'rankchange1000', 'value': '-16'}","{'key': 'rankchange', 'value': '-16'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tyson Foods'}"
"{'key': 'rank', 'value': '81'}","{'key': 'revenues', 'value': '37047'}","{'key': 'revchange', 'value': '-3.1'}","{'key': 'profits', 'value': '8901'}","{'key': 'prftchange', 'value': '-10.4'}","{'key': 'assets', 'value': '112180'}","{'key': 'mktval', 'value': '183556'}","{'key': 'employees', 'value': '136000'}","{'key': 'rankchange1000', 'value': '-4'}","{'key': 'rankchange', 'value': '-4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Oracle'}"
"{'key': 'rank', 'value': '120'}","{'key': 'revenues', 'value': '23441'}","{'key': 'revchange', 'value': '12.4'}","{'key': 'profits', 'value': '1031'}","{'key': 'prftchange', 'value': '-18.7'}","{'key': 'assets', 'value': '33428'}","{'key': 'mktval', 'value': '22760'}","{'key': 'employees', 'value': '31721'}","{'key': 'rankchange1000', 'value': '17'}","{'key': 'rankchange', 'value': '17'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Progressive'}"
"{'key': 'rank', 'value': '119'}","{'key': 'revenues', 'value': '23554'}","{'key': 'revchange', 'value': '-6.8'}","{'key': 'profits', 'value': '5705'}","{'key': 'prftchange', 'value': '8.2'}","{'key': 'assets', 'value': '52359'}","{'key': 'mktval', 'value': '84694'}","{'key': 'employees', 'value': '30500'}","{'key': 'rankchange1000', 'value': '-9'}","{'key': 'rankchange', 'value': '-9'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Qualcomm'}"
"{'key': 'rank', 'value': '118'}","{'key': 'revenues', 'value': '23825'}","{'key': 'revchange', 'value': '2.3'}","{'key': 'profits', 'value': '522.8'}","{'key': 'prftchange', 'value': '5'}","{'key': 'assets', 'value': '14206'}","{'key': 'mktval', 'value': '6546'}","{'key': 'employees', 'value': '18700'}","{'key': 'rankchange1000', 'value': '1'}","{'key': 'rankchange', 'value': '1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Arrow Electronics'}"
"{'key': 'rank', 'value': '117'}","{'key': 'revenues', 'value': '24005'}","{'key': 'revchange', 'value': '-14.7'}","{'key': 'profits', 'value': '734'}","{'key': 'prftchange', 'value': '-52.3'}","{'key': 'assets', 'value': '20398'}","{'key': 'mktval', 'value': '9515'}","{'key': 'employees', 'value': '6308'}","{'key': 'rankchange1000', 'value': '-19'}","{'key': 'rankchange', 'value': '-19'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Andeavor'}"
"{'key': 'rank', 'value': '116'}","{'key': 'revenues', 'value': '24069'}","{'key': 'revchange', 'value': '3.5'}","{'key': 'profits', 'value': '2211'}","{'key': 'prftchange', 'value': '6.6'}","{'key': 'assets', 'value': '30052'}","{'key': 'mktval', 'value': '44664'}","{'key': 'employees', 'value': '63000'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Raytheon'}"
"{'key': 'rank', 'value': '115'}","{'key': 'revenues', 'value': '24360'}","{'key': 'revchange', 'value': '-21.3'}","{'key': 'profits', 'value': '-3615'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '89772'}","{'key': 'mktval', 'value': '61692'}","{'key': 'employees', 'value': '13300'}","{'key': 'rankchange1000', 'value': '-25'}","{'key': 'rankchange', 'value': '-25'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ConocoPhillips'}"
"{'key': 'rank', 'value': '114'}","{'key': 'revenues', 'value': '24508'}","{'key': 'revchange', 'value': '4.2'}","{'key': 'profits', 'value': '2200'}","{'key': 'prftchange', 'value': '10.6'}","{'key': 'assets', 'value': '25614'}","{'key': 'mktval', 'value': '41577'}","{'key': 'employees', 'value': '67000'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Northrop Grumman'}"
"{'key': 'rank', 'value': '113'}","{'key': 'revenues', 'value': '24594'}","{'key': 'revchange', 'value': '-12'}","{'key': 'profits', 'value': '2513'}","{'key': 'prftchange', 'value': '28.7'}","{'key': 'assets', 'value': '39964'}","{'key': 'mktval', 'value': '69451'}","{'key': 'employees', 'value': '46000'}","{'key': 'rankchange1000', 'value': '-12'}","{'key': 'rankchange', 'value': '-12'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'DuPont'}"
"{'key': 'rank', 'value': '112'}","{'key': 'revenues', 'value': '24622'}","{'key': 'revchange', 'value': '-3.1'}","{'key': 'profits', 'value': '4686.5'}","{'key': 'prftchange', 'value': '3.5'}","{'key': 'assets', 'value': '31024'}","{'key': 'mktval', 'value': '106150'}","{'key': 'employees', 'value': '375000'}","{'key': 'rankchange1000', 'value': '-3'}","{'key': 'rankchange', 'value': '-3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""McDonald's""}"
"{'key': 'rank', 'value': '111'}","{'key': 'revenues', 'value': '25638'}","{'key': 'revchange', 'value': '12.2'}","{'key': 'profits', 'value': '5953'}","{'key': 'prftchange', 'value': '15.7'}","{'key': 'assets', 'value': '66099'}","{'key': 'mktval', 'value': '103838'}","{'key': 'employees', 'value': '30000'}","{'key': 'rankchange1000', 'value': '12'}","{'key': 'rankchange', 'value': '12'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'AbbVie'}"
"{'key': 'rank', 'value': '110'}","{'key': 'revenues', 'value': '25778'}","{'key': 'revchange', 'value': '-4.8'}","{'key': 'profits', 'value': '619'}","{'key': 'prftchange', 'value': '-42.3'}","{'key': 'assets', 'value': '19851'}","{'key': 'mktval', 'value': '9046'}","{'key': 'employees', 'value': '148300'}","{'key': 'rankchange1000', 'value': '-7'}","{'key': 'rankchange', 'value': '-7'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""Macy's""}"
"{'key': 'rank', 'value': '109'}","{'key': 'revenues', 'value': '25923'}","{'key': 'revchange', 'value': '-12.5'}","{'key': 'profits', 'value': '1659'}","{'key': 'prftchange', 'value': '-77.2'}","{'key': 'assets', 'value': '61538'}","{'key': 'mktval', 'value': '65676'}","{'key': 'employees', 'value': '90000'}","{'key': 'rankchange1000', 'value': '-15'}","{'key': 'rankchange', 'value': '-15'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Mondelez International'}"
"{'key': 'rank', 'value': '108'}","{'key': 'revenues', 'value': '26219'}","{'key': 'revchange', 'value': '-6.1'}","{'key': 'profits', 'value': '506.5'}","{'key': 'prftchange', 'value': '-11.4'}","{'key': 'assets', 'value': '11240'}","{'key': 'mktval', 'value': '5898'}","{'key': 'employees', 'value': '17700'}","{'key': 'rankchange1000', 'value': '-6'}","{'key': 'rankchange', 'value': '-6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Avnet'}"
"{'key': 'rank', 'value': '107'}","{'key': 'revenues', 'value': '26235'}","{'key': 'revchange', 'value': '-0.5'}","{'key': 'profits', 'value': '195.1'}","{'key': 'prftchange', 'value': '-26.6'}","{'key': 'assets', 'value': '7932'}","{'key': 'mktval', 'value': '3569'}","{'key': 'employees', 'value': '9500'}","{'key': 'rankchange1000', 'value': '1'}","{'key': 'rankchange', 'value': '1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tech Data'}"
"{'key': 'rank', 'value': '106'}","{'key': 'revenues', 'value': '26487'}","{'key': 'revchange', 'value': '44.4'}","{'key': 'profits', 'value': '3632'}","{'key': 'prftchange', 'value': '472.9'}","{'key': 'assets', 'value': '120480'}","{'key': 'mktval', 'value': '110528'}","{'key': 'employees', 'value': '41000'}","{'key': 'rankchange1000', 'value': '47'}","{'key': 'rankchange', 'value': '47'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kraft Heinz'}"
"{'key': 'rank', 'value': '105'}","{'key': 'revenues', 'value': '26644'}","{'key': 'revchange', 'value': '-7.7'}","{'key': 'profits', 'value': '1523.9'}","{'key': 'prftchange', 'value': '-21.4'}","{'key': 'assets', 'value': '57981'}","{'key': 'mktval', 'value': '34648'}","{'key': 'employees', 'value': '56767'}","{'key': 'rankchange1000', 'value': '-8'}","{'key': 'rankchange', 'value': '-8'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Deere'}"
"{'key': 'rank', 'value': '104'}","{'key': 'revenues', 'value': '26685'}","{'key': 'revchange', 'value': '-0.4'}","{'key': 'profits', 'value': '6967'}","{'key': 'prftchange', 'value': '1.4'}","{'key': 'assets', 'value': '36851'}","{'key': 'mktval', 'value': '175349'}","{'key': 'employees', 'value': '79500'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Philip Morris International'}"
"{'key': 'rank', 'value': '103'}","{'key': 'revenues', 'value': '27016'}","{'key': 'revchange', 'value': '-11.1'}","{'key': 'profits', 'value': '126.5'}","{'key': 'prftchange', 'value': '-27.5'}","{'key': 'assets', 'value': '5413'}","{'key': 'mktval', 'value': '2535'}","{'key': 'employees', 'value': '5000'}","{'key': 'rankchange1000', 'value': '-11'}","{'key': 'rankchange', 'value': '-11'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'World Fuel Services'}"
"{'key': 'rank', 'value': '102'}","{'key': 'revenues', 'value': '27131'}","{'key': 'revchange', 'value': '11.4'}","{'key': 'profits', 'value': '1779.1'}","{'key': 'prftchange', 'value': '-21.7'}","{'key': 'assets', 'value': '147290'}","{'key': 'mktval', 'value': ''}","{'key': 'employees', 'value': '29943'}","{'key': 'rankchange1000', 'value': '12'}","{'key': 'rankchange', 'value': '12'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'USAA'}"
"{'key': 'rank', 'value': '101'}","{'key': 'revenues', 'value': '27326'}","{'key': 'revchange', 'value': '-5.7'}","{'key': 'profits', 'value': '2755'}","{'key': 'prftchange', 'value': '-66.8'}","{'key': 'assets', 'value': '48365'}","{'key': 'mktval', 'value': '59949'}","{'key': 'employees', 'value': '21500'}","{'key': 'rankchange1000', 'value': '-5'}","{'key': 'rankchange', 'value': '-5'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Twenty-First Century Fox'}"
"{'key': 'rank', 'value': '140'}","{'key': 'revenues', 'value': '20217'}","{'key': 'revchange', 'value': '-4'}","{'key': 'profits', 'value': '-1497'}","{'key': 'prftchange', 'value': '-494.8'}","{'key': 'assets', 'value': '8271'}","{'key': 'mktval', 'value': '5723'}","{'key': 'employees', 'value': '61503'}","{'key': 'rankchange1000', 'value': '-8'}","{'key': 'rankchange', 'value': '-8'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Staples'}"
"{'key': 'rank', 'value': '139'}","{'key': 'revenues', 'value': '20268'}","{'key': 'revchange', 'value': '-9.1'}","{'key': 'profits', 'value': '1635'}","{'key': 'prftchange', 'value': '-39.7'}","{'key': 'assets', 'value': '21743'}","{'key': 'mktval', 'value': '38614'}","{'key': 'employees', 'value': '103500'}","{'key': 'rankchange1000', 'value': '-11'}","{'key': 'rankchange', 'value': '-11'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Emerson Electric'}"
"{'key': 'rank', 'value': '138'}","{'key': 'revenues', 'value': '20425'}","{'key': 'revchange', 'value': '3.1'}","{'key': 'profits', 'value': '2244'}","{'key': 'prftchange', 'value': '2.9'}","{'key': 'assets', 'value': '23286'}","{'key': 'mktval', 'value': '33076'}","{'key': 'employees', 'value': '53536'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Southwest Airlines'}"
"{'key': 'rank', 'value': '137'}","{'key': 'revenues', 'value': '20718'}","{'key': 'revchange', 'value': '-0.8'}","{'key': 'profits', 'value': '888'}","{'key': 'prftchange', 'value': '13.4'}","{'key': 'assets', 'value': '19153'}","{'key': 'mktval', 'value': '12762'}","{'key': 'employees', 'value': '93000'}","{'key': 'rankchange1000', 'value': '-3'}","{'key': 'rankchange', 'value': '-3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Whirlpool'}"
"{'key': 'rank', 'value': '136'}","{'key': 'revenues', 'value': '20719'}","{'key': 'revchange', 'value': '33.7'}","{'key': 'profits', 'value': '896.2'}","{'key': 'prftchange', 'value': '217.4'}","{'key': 'assets', 'value': '15702'}","{'key': 'mktval', 'value': '18540'}","{'key': 'employees', 'value': '116050'}","{'key': 'rankchange1000', 'value': '44'}","{'key': 'rankchange', 'value': '44'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Dollar Tree'}"
"{'key': 'rank', 'value': '135'}","{'key': 'revenues', 'value': '20853'}","{'key': 'revchange', 'value': '0.9'}","{'key': 'profits', 'value': '1400'}","{'key': 'prftchange', 'value': '-68.3'}","{'key': 'assets', 'value': '52666'}","{'key': 'mktval', 'value': '76740'}","{'key': 'employees', 'value': '75000'}","{'key': 'rankchange1000', 'value': '3'}","{'key': 'rankchange', 'value': '3'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Abbott Laboratories'}"
"{'key': 'rank', 'value': '134'}","{'key': 'revenues', 'value': '21070'}","{'key': 'revchange', 'value': '4.8'}","{'key': 'profits', 'value': '-192'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '24701'}","{'key': 'mktval', 'value': '1777'}","{'key': 'employees', 'value': '116475'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tenet Healthcare'}"
"{'key': 'rank', 'value': '133'}","{'key': 'revenues', 'value': '21079'}","{'key': 'revchange', 'value': '-5.8'}","{'key': 'profits', 'value': '904'}","{'key': 'prftchange', 'value': '-3.6'}","{'key': 'assets', 'value': '33345'}","{'key': 'mktval', 'value': '20884'}","{'key': 'employees', 'value': '55000'}","{'key': 'rankchange1000', 'value': '-6'}","{'key': 'rankchange', 'value': '-6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'International Paper'}"
"{'key': 'rank', 'value': '132'}","{'key': 'revenues', 'value': '21222'}","{'key': 'revchange', 'value': '6.3'}","{'key': 'profits', 'value': '2737.6'}","{'key': 'prftchange', 'value': '13.7'}","{'key': 'assets', 'value': '38806'}","{'key': 'mktval', 'value': '92803'}","{'key': 'employees', 'value': '41975'}","{'key': 'rankchange1000', 'value': '9'}","{'key': 'rankchange', 'value': '9'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Eli Lilly'}"
"{'key': 'rank', 'value': '201'}","{'key': 'revenues', 'value': '13609'}","{'key': 'revchange', 'value': '5'}","{'key': 'profits', 'value': '1182'}","{'key': 'prftchange', 'value': '57'}","{'key': 'assets', 'value': '20859'}","{'key': 'mktval', 'value': '32216'}","{'key': 'employees', 'value': '41200'}","{'key': 'rankchange1000', 'value': '20'}","{'key': 'rankchange', 'value': '20'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Waste Management'}"
"{'key': 'rank', 'value': '131'}","{'key': 'revenues', 'value': '21316'}","{'key': 'revchange', 'value': '11.2'}","{'key': 'profits', 'value': '2817.7'}","{'key': 'prftchange', 'value': '2.2'}","{'key': 'assets', 'value': '14330'}","{'key': 'mktval', 'value': '85092'}","{'key': 'employees', 'value': '254000'}","{'key': 'rankchange1000', 'value': '15'}","{'key': 'rankchange', 'value': '15'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Starbucks'}"
