0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
"{'key': 'rank', 'value': '990'}","{'key': 'revenues', 'value': '1993.9'}","{'key': 'revchange', 'value': '3.6'}","{'key': 'profits', 'value': '112.8'}","{'key': 'prftchange', 'value': '23.1'}","{'key': 'assets', 'value': '1484.7'}","{'key': 'mktval', 'value': '1979.2'}","{'key': 'rankchange1000', 'value': '-11'}","{'key': 'employees', 'value': '2250'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Stepan'}","{'key': 'sector', 'value': 'Chemicals'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Northfield'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Stepan'}"
"{'key': 'rank', 'value': '989'}","{'key': 'revenues', 'value': '1998.0'}","{'key': 'revchange', 'value': '1.7'}","{'key': 'profits', 'value': '149.6'}","{'key': 'prftchange', 'value': '-35.0'}","{'key': 'assets', 'value': '2305.1'}","{'key': 'mktval', 'value': '1907.8'}","{'key': 'rankchange1000', 'value': '-27'}","{'key': 'employees', 'value': '6701'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Deluxe'}","{'key': 'sector', 'value': 'Media'}","{'key': 'industry', 'value': 'Publishing, Printing'}","{'key': 'hqcity', 'value': 'Shoreview'}","{'key': 'hqstate', 'value': 'MN'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Deluxe'}"
"{'key': 'rank', 'value': '988'}","{'key': 'revenues', 'value': '1999.0'}","{'key': 'revchange', 'value': ''}","{'key': 'profits', 'value': '298.0'}","{'key': 'prftchange', 'value': ''}","{'key': 'assets', 'value': '2753.0'}","{'key': 'mktval', 'value': '2866.7'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '8600'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Hilton Grand Vacations'}","{'key': 'sector', 'value': 'Hotels, Restaurants & Leisure'}","{'key': 'industry', 'value': 'Hotels, Casinos, Resorts'}","{'key': 'hqcity', 'value': 'Orlando'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hilton Grand Vacations'}"
"{'key': 'rank', 'value': '987'}","{'key': 'revenues', 'value': '2000.6'}","{'key': 'revchange', 'value': '13.0'}","{'key': 'profits', 'value': '63.1'}","{'key': 'prftchange', 'value': '15.3'}","{'key': 'assets', 'value': '1110.4'}","{'key': 'mktval', 'value': '772.9'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '5300'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'NCI Building Systems'}","{'key': 'sector', 'value': 'Materials'}","{'key': 'industry', 'value': 'Building Materials, Glass'}","{'key': 'hqcity', 'value': 'Cary'}","{'key': 'hqstate', 'value': 'NC'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NCI Building Systems'}"
"{'key': 'rank', 'value': '986'}","{'key': 'revenues', 'value': '2002.9'}","{'key': 'revchange', 'value': '11.5'}","{'key': 'profits', 'value': '366.6'}","{'key': 'prftchange', 'value': '20.7'}","{'key': 'assets', 'value': '2394.7'}","{'key': 'mktval', 'value': '2614.0'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'employees', 'value': '3599'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Alliance Resource Partners'}","{'key': 'sector', 'value': 'Energy'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqcity', 'value': 'Tulsa'}","{'key': 'hqstate', 'value': 'OK'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Alliance Resource Partners'}"
"{'key': 'rank', 'value': '985'}","{'key': 'revenues', 'value': '2008.8'}","{'key': 'revchange', 'value': '7.6'}","{'key': 'profits', 'value': '83.5'}","{'key': 'prftchange', 'value': '-5.3'}","{'key': 'assets', 'value': '692.6'}","{'key': 'mktval', 'value': '2442.4'}","{'key': 'rankchange1000', 'value': '10'}","{'key': 'employees', 'value': '55000'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Healthcare Services Group'}","{'key': 'sector', 'value': 'Health Care'}","{'key': 'industry', 'value': 'Health Care: Pharmacy and Other Services'}","{'key': 'hqcity', 'value': 'Bensalem'}","{'key': 'hqstate', 'value': 'PA'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Healthcare Services Group'}"
"{'key': 'rank', 'value': '984'}","{'key': 'revenues', 'value': '2009.7'}","{'key': 'revchange', 'value': '7.6'}","{'key': 'profits', 'value': '412.6'}","{'key': 'prftchange', 'value': '112.5'}","{'key': 'assets', 'value': '8251.4'}","{'key': 'mktval', 'value': '4072.5'}","{'key': 'rankchange1000', 'value': '10'}","{'key': 'employees', 'value': '5800'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Tribune Media'}","{'key': 'sector', 'value': 'Media'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqcity', 'value': 'Chicago'}","{'key': 'hqstate', 'value': 'IL'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tribune Media'}"
"{'key': 'rank', 'value': '983'}","{'key': 'revenues', 'value': '2011.6'}","{'key': 'revchange', 'value': '5.5'}","{'key': 'profits', 'value': '379.9'}","{'key': 'prftchange', 'value': '80.4'}","{'key': 'assets', 'value': '4065.0'}","{'key': 'mktval', 'value': '8734.7'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'employees', 'value': '20150'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Vail Resorts'}","{'key': 'sector', 'value': 'Hotels, Restaurants & Leisure'}","{'key': 'industry', 'value': 'Hotels, Casinos, Resorts'}","{'key': 'hqcity', 'value': 'Broomfield'}","{'key': 'hqstate', 'value': 'CO'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Vail Resorts'}"
"{'key': 'rank', 'value': '982'}","{'key': 'revenues', 'value': '2011.7'}","{'key': 'revchange', 'value': '2.6'}","{'key': 'profits', 'value': '67.0'}","{'key': 'prftchange', 'value': '-31.3'}","{'key': 'assets', 'value': '2894.7'}","{'key': 'mktval', 'value': '1027.3'}","{'key': 'rankchange1000', 'value': '-18'}","{'key': 'employees', 'value': '1918'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Kraton'}","{'key': 'sector', 'value': 'Chemicals'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqcity', 'value': 'Houston'}","{'key': 'hqstate', 'value': 'TX'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'no'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Kraton'}"
"{'key': 'rank', 'value': '981'}","{'key': 'revenues', 'value': '2014.2'}","{'key': 'revchange', 'value': '7.1'}","{'key': 'profits', 'value': '344.3'}","{'key': 'prftchange', 'value': '-13.9'}","{'key': 'assets', 'value': '6688.7'}","{'key': 'mktval', 'value': '8316.8'}","{'key': 'rankchange1000', 'value': '7'}","{'key': 'employees', 'value': '9590'}","{'key': 'rankchange', 'value': ''}","{'key': 'name', 'value': 'Brown &amp; Brown'}","{'key': 'sector', 'value': 'Financials'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqcity', 'value': 'Daytona Beach'}","{'key': 'hqstate', 'value': 'FL'}","{'key': 'rankgain', 'value': ''}","{'key': 'rankdrop', 'value': ''}","{'key': 'newcomer', 'value': ''}","{'key': 'profitable', 'value': 'yes'}","{'key': 'ceofounder', 'value': 'no'}","{'key': 'ceowoman', 'value': 'no'}","{'key': 'jobgrowth', 'value': 'yes'}","{'key': 'global500-y-n', 'value': 'no'}","{'key': 'best-companies-y-n', 'value': 'no'}","{'key': 'worlds-most-admired-companies-y-n', 'value': 'no'}","{'key': 'change-the-world-y-n', 'value': 'no'}","{'key': '100-fastest-growing-companies-y-n', 'value': 'no'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brown &amp; Brown'}"
