company,rank,revenue,sector,city,state
American Equity Investment Life Holding,964,2169,Financials,West Des Moines,IA
Universal Forest Products,821,2660,Materials,Grand Rapids,MI
Toro,963,2173,Industrials,Bloomington,MN
Carpenter Technology,962,2173,Materials,Wyomissing,PA
Cabot Oil &amp; Gas,961,2173,Energy,Houston,TX
TrueBlue,960,2174,Business Services,Tacoma,WA
Bio-Rad Laboratories,959,2175,Health Care,Hercules,CA
MarkWest Energy Partners,958,2176,Energy,Denver,CO
Meritage Homes,957,2180,Engineering & Construction,Scottsdale,AZ
Scripps Networks Interactive,820,2666,Media,Knoxville,TN
Chico's FAS,819,2675,Retailing,Fort Myers,FL
Tower International,956,2182,Motor Vehicles & Parts,Livonia,MI
Symetra Financial,955,2182,Financials,Bellevue,WA
Cracker Barrel Old Country Store,818,2684,"Hotels, Resturants & Leisure",Lebanon,TN
Armstrong World Industries,817,2691,Materials,Lancaster,PA
Chemtura,954,2190,Chemicals,Philadelphia,PA
Covance,816,2700,Health Care,Princeton,NJ
TriNet Group,953,2194,Business Services,San Leandro,CA
Public Storage,952,2195,Business Services,Glendale,CA
Vornado Realty Trust,814,2707,Financials,New York,NY
Ocwen Financial,951,2197,Financials,Atlanta,GA
Kemper,950,2197,Financials,Chicago,IL
Range Resources,813,2712,Energy,Fort Worth,TX
Metaldyne Performance Group,812,2717,Motor Vehicles & Parts,Plymouth,MI
AMC Networks,949,2198,Media,New York,NY
Greenbrier Cos.,948,2204,Transportation,Lake Oswego,OR
Antero Resources,811,2721,Energy,Denver,CO
Aaron's,810,2725,Retailing,Atlanta,GA
Brocade Communications Systems,947,2211,Technology,San Jose,CA
Teradata,809,2732,Technology,Dayton,OH
Diplomat Pharmacy,946,2215,Food & Drug Stores,Flint,MI
Legg Mason,808,2742,Financials,Baltimore,MD
LinkedIn,945,2219,Technology,Mountain View,CA
DST Systems,807,2749,Business Services,Kansas City,MO
HNI,944,2223,Household Products,Muscatine,IA
Wolverine World Wide,806,2761,Apparel,Rockford,MI
Oil States International,943,2224,Energy,Houston,TX
Hyster-Yale Materials Handling,805,2767,Industrials,Cleveland,OH
IHS,942,2231,Business Services,Englewood,CO
