company,rank,revenue,state
A. Schulman,883,2448,OH
Applied Industrial Technologies,880,2460,OH
Medical Mutual of Ohio,879,2460,OH
Mettler-Toledo International,868,2486,OH
DSW,866,2496,OH
Wendy's,993,2061,OH
Vantiv,842,2577,OH
Express,965,2166,OH
Teradata,809,2732,OH
Hyster-Yale Materials Handling,805,2767,OH
Lincoln Electric Holdings,792,2813,OH
Convergys,783,2856,OH
Scotts Miracle-Gro,782,2859,OH
TransDigm Group,904,2373,OH
Huntington Bancshares,765,2956,OH
Diebold,743,3051,OH
Worthington Industries,728,3126,OH
Welltower,698,3344,OH
Cooper Tire &amp; Rubber,688,3425,OH
Abercrombie &amp; Fitch,648,3744,OH
PolyOne,638,3836,OH
Timken,632,3862,OH
Greif,600,4239,OH
KeyCorp,592,4339,OH
RPM International,589,4376,OH
Andersons,569,4540,OH
Cintas,566,4552,OH
Cliffs Natural Resources,560,4624,OH
Aleris,547,4716,OH
Cincinnati Financial,525,4945,OH
Hexion,503,5137,OH
Big Lots,501,5177,OH
Owens Corning,498,5276,OH
Western &amp; Southern Financial Group,481,5404,OH
J.M. Smucker,467,5611,OH
American Financial Group,459,5713,OH
Fifth Third Bancorp,416,6503,OH
AK Steel Holding,415,6506,OH
Omnicare,414,6551,OH
Dana Holding,410,6617,OH
Owens-Illinois,399,6784,OH
TravelCenters of America,365,7779,OH
Sherwin-Williams,266,11130,OH
L Brands,262,11454,OH
Parker-Hannifin,230,13216,OH
FirstEnergy,206,15054,OH
American Electric Power,184,17020,OH
Goodyear Tire &amp; Rubber,166,18138,OH
Progressive,153,19391,OH
Macy's,105,28105,OH
Nationwide,85,36257,OH
Procter &amp; Gamble,32,84537,OH
Cardinal Health,26,91084,OH
Marathon Petroleum,25,91417,OH
Kroger,20,108465,OH
