company,rank,revenue,state
Wendy's,999,1896,OH
Cardinal Health,21,102531,OH
Kroger,17,109830,OH
Sherwin-Williams,253,11339,OH
Marathon Petroleum,42,64566,OH
Procter &amp; Gamble,34,78756,OH
Nationwide,69,40222,OH
Fifth Third Bancorp,376,7031,OH
AK Steel Holding,383,6693,OH
Progressive,137,20854,OH
Owens-Illinois,418,6156,OH
American Financial Group,421,6145,OH
Goodyear Tire &amp; Rubber,169,16443,OH
American Electric Power,165,16900,OH
Macy's,103,27079,OH
Dana Holding,428,6060,OH
TravelCenters of America,439,5851,OH
FirstEnergy,188,15026,OH
L Brands,234,12154,OH
J.M. Smucker,452,5693,OH
Parker-Hannifin,224,12712,OH
Western &amp; Southern Financial Group,479,5356,OH
Owens Corning,480,5350,OH
Big Lots,495,5191,OH
Cincinnati Financial,499,5142,OH
American Greetings,968,2011,OH
Express,876,2350,OH
A. Schulman,865,2392,OH
RPM International,538,4595,OH
KeyCorp,540,4542,OH
Cintas,545,4508,OH
Andersons,574,4199,OH
Hexion,580,4140,OH
Welltower,609,3860,OH
Greif,628,3617,OH
Abercrombie &amp; Fitch,644,3519,OH
Worthington Industries,667,3384,OH
PolyOne,668,3378,OH
Mettler-Toledo International,864,2395,OH
Cliffs Natural Resources,860,2418,OH
Medical Mutual of Ohio,852,2462,OH
Aleris,687,3206,OH
Teradata,834,2530,OH
Vantiv,694,3160,OH
Lincoln Electric Holdings,832,2536,OH
Hyster-Yale Materials Handling,823,2578,OH
DSW,812,2620,OH
TransDigm Group,788,2707,OH
Huntington Bancshares,698,3153,OH
Applied Industrial Technologies,780,2752,OH
Diebold Nixdorf,778,2768,OH
Scotts Miracle-Gro,724,3017,OH
Cooper Tire &amp; Rubber,739,2973,OH
Convergys,744,2951,OH
Timken,757,2872,OH
