company,rank,revenue,state
Nationwide,74,43982.0,OH
Progressive,86,39022.3,OH
Procter & Gamble,50,67684.0,OH
Marathon Petroleum,22,124813.0,OH
Kroger,23,122286.0,OH
Cardinal Health,16,145534.0,OH
Ohio National Mutual,908,2340.5,OH
Nordson,949,2194.2,OH
Hyster-Yale Materials Handling,734,3291.8,OH
Worthington Industries,664,3759.6,OH
Designer Brands,698,3492.7,OH
Applied Industrial Technologies,700,3472.7,OH
Lincoln Electric Holdings,783,3003.3,OH
Medical Mutual of Ohio,695,3502.7,OH
Abercrombie & Fitch,678,3623.1,OH
Mettler-Toledo International,780,3008.7,OH
M/I Homes,871,2500.3,OH
Diebold Nixdorf,607,4408.7,OH
Timken,661,3789.9,OH
Bread Financial Holdings,456,6580.9,OH
Welltower,542,5121.3,OH
TransDigm Group,513,5517.2,OH
Avient,724,3351.6,OH
Scotts Miracle-Gro,753,3156.0,OH
Vertiv Holdings,603,4431.2,OH
Greif,584,4595.0,OH
Huntington Bancshares,500,5655.0,OH
RPM International,508,5564.6,OH
Big Lots,526,5323.2,OH
O-I Glass,453,6691.0,OH
Cintas,441,6892.3,OH
TravelCenters of America,480,6117.4,OH
American Financial Group,383,8237.0,OH
KeyCorp,411,7694.0,OH
Bath & Body Works,248,12914.2,OH
J.M. Smucker,407,7838.0,OH
Fifth Third Bancorp,325,9790.0,OH
Owens Corning,431,7160.0,OH
Dana,367,8620.0,OH
Western & Southern Financial Group,401,7920.5,OH
Cincinnati Financial,400,7924.2,OH
FirstEnergy,294,10850.0,OH
Andersons,390,8170.2,OH
Parker-Hannifin,224,14320.3,OH
American Electric Power,204,15561.4,OH
Goodyear Tire & Rubber,216,14745.0,OH
Sherwin-Williams,180,17900.8,OH
Cooper Tire & Rubber,830,2752.6,OH
Hexion,717,3374.0,OH
Express,990,2019.2,OH
Verso,882,2444.0,OH
Aleris,715,3375.9,OH
AK Steel Holding,467,6359.4,OH
