company,rank,revenue,sector,city,state
Walmart,1,572754,Retailing,Bentonville,AR
Amazon,2,469822,Retailing,Seattle,WA
Apple,3,365817,Technology,Cupertino,CA
Element Solutions,941,2399.8,Chemicals,Fort Lauderdale,FL
Hilton Grand Vacations,951,2335,"Hotels, Restaurants & Leisure",Orlando,FL
Crocs,954,2313.4,Apparel,Broomfield,CO
Olympic Steel,955,2312.3,Materials,Highland Hills,OH
Signature Bank,956,2311.3,Financials,New York,NY
Saia,961,2288.7,Transportation,Johns Creek,GA
Sun Communities,964,2272.6,Financials,Southfield,MI
Century Aluminum,979,2212.5,Materials,Chicago,IL
Pure Storage,984,2180.8,Technology,Mountain View,CA
Dun & Bradstreet Holdings,987,2165.6,Business Services,Jacksonville,FL
Acushnet Holdings,990,2147.9,"Hotels, Restaurants & Leisure",Fairhaven,MA
Vizio Holding,996,2124,Industrials,Irvine,CA
Cowen,998,2112.8,Financials,New York,NY
Core & Main,606,5004,Wholesalers,St. Louis,MO
TPG,610,4976.4,Financials,Fort Worth,TX
Ares Management,627,4770.6,Financials,Los Angeles,CA
Marvell Technology,654,4462.4,Technology,Wilmington,DE
Mattress Firm Group,659,4392.9,Retailing,Houston,TX
Bright Health Group,688,4029.4,Health Care,Minneapolis,MN
eXp World Holdings,717,3771.2,Financials,Bellingham,WA
Coterra Energy,762,3449,Energy,Houston,TX
Topgolf Callaway Brands,811,3133.4,"Hotels, Restaurants & Leisure",Carlsbad,CA
Change Healthcare,815,3090.4,Health Care,Nashville,TN
Atkore,847,2928,Industrials,Harvey,IL
Alight,853,2915,Business Services,Lincolnshire,IL
Annaly Capital Management,867,2836.2,Financials,New York,NY
AppLovin,876,2793.1,Technology,Palo Alto,CA
SM Energy,905,2622.9,Energy,Denver,CO
Kaiser Aluminum,906,2622,Materials,Foothill Ranch,CA
Encore Wire,910,2592.7,Industrials,McKinney,TX
Pinterest,913,2578,Technology,San Francisco,CA
WeWork,914,2570.1,Financials,New York,NY
AMC Entertainment Holdings,920,2527.9,Media,Leawood,KS
Kontoor Brands,923,2475.9,Apparel,Greensboro,NC
Liberty Energy,924,2470.8,Energy,Denver,CO
AdaptHealth,926,2465.1,Health Care,Plymouth Meeting,PA
Jackson Financial,395,8848,Financials,Lansing,MI
GXO Logistics,430,7940,Transportation,Greenwich,CT
Victoria's Secret,480,6784.6,Retailing,Reynoldsburg,OH
Concentrix,557,5587,Technology,Fremont,CA
Vroom,805,3184.3,Retailing,New York,NY
1-800-Flowers.com,997,2122.2,Retailing,Jericho,NY
Ashland,999,2111,Chemicals,Wilmington,DE
DocuSign,1000,2107.2,Technology,San Francisco,CA
Harsco,991,2147,Business Services,Camp Hill,PA
Beazer Homes USA,992,2140.3,Engineering & Construction,Atlanta,GA
Chemed,993,2139.3,Health Care,Cincinnati,OH
Genesis Energy,994,2125.5,Energy,Houston,TX
BWX Technologies,995,2124.1,Aerospace & Defense,Lynchburg,VA
TrueBlue,985,2173.6,Business Services,Tacoma,WA
Party City Holdco,986,2171.1,Retailing,Elmsford,NY
Dropbox,988,2157.9,Technology,San Francisco,CA
New Jersey Resources,989,2156.6,Energy,Wall,NJ
Arch Resources,980,2208,Energy,St. Louis,MO
Aerojet Rocketdyne Holdings,981,2188,Aerospace & Defense,El Segundo,CA
Sleep Number,982,2184.9,Retailing,Minneapolis,MN
HNI,983,2184.4,Household Products,Muscatine,IA
Spire,974,2235.5,Energy,St. Louis,MO
Vista Outdoor,975,2225.5,Business Services,Anoka,MN
Surgery Partners,976,2225.1,Health Care,Brentwood,TN
LHC Group,977,2219.6,Health Care,Lafayette,LA
Amedisys,978,2214.1,Health Care,Baton Rouge,LA
Kar Auction Services,969,2251.6,Wholesalers,Carmel,IN
TTM Technologies,970,2248.7,Technology,Santa Ana,CA
Kirby,971,2246.7,Transportation,Houston,TX
Woodward,972,2245.8,Aerospace & Defense,Fort Collins,CO
Clear Channel Outdoor Holdings,973,2241.1,Business Services,San Antonio,TX
Alpha Metallurgical Resources,965,2258.6,Energy,Bristol,TN
GEO Group,966,2256.6,Business Services,Boca Raton,FL
Viasat,967,2256.1,Technology,Carlsbad,CA
Benchmark Electronics,968,2255.3,Technology,Tempe,AZ
Entegris,959,2298.9,Technology,Billerica,MA
AvalonBay Communities,960,2294.9,Financials,Arlington,VA
E.W. Scripps,962,2283.5,Media,Cincinnati,OH
TTEC Holdings,963,2273.1,Technology,Englewood,CO
SBA Communications,957,2308.8,Financials,Boca Raton,FL
Murphy Oil,958,2300.1,Energy,Houston,TX
Stepan,949,2346,Chemicals,Northbrook,IL
Valhi,950,2335.4,Chemicals,Dallas,TX
Cooper-Standard Holdings,952,2330.2,Motor Vehicles & Parts,Northville,MI
Etsy,953,2329.1,Technology,Brooklyn,NY
Acadia Healthcare,944,2376.9,Health Care,Franklin,TN
Alexandria Real Estate Equities,945,2373.6,Financials,Pasadena,CA
Nordson,946,2362.2,Industrials,Westlake,OH
NewMarket,947,2356.1,Chemicals,Richmond,VA
Ohio National Mutual,948,2346.5,Financials,Cincinnati,OH
Belden,939,2408.1,Industrials,St. Louis,MO
Allison Transmission Holdings,940,2402,Motor Vehicles & Parts,Indianapolis,IN
Portland General Electric,942,2396,Energy,Portland,OR
REV Group,943,2380.8,Motor Vehicles & Parts,Brookfield,WI
Wolverine World Wide,934,2414.9,Apparel,Rockford,MI
Gray Television,935,2413,Media,Atlanta,GA
Affiliated Managers Group,936,2412.4,Financials,West Palm Beach,FL
Summit Materials,937,2409.7,Materials,Denver,CO
SLM,938,2409.3,Financials,Newark,DE
DexCom,929,2448.5,Health Care,San Diego,CA
Rollins,930,2424.3,Business Services,Atlanta,GA
Genesco,931,2422.1,Retailing,Nashville,TN
Bruker,932,2417.9,Technology,Billerica,MA
Joann,933,2417.6,Retailing,Hudson,OH
Knights of Columbus,925,2467.5,Financials,New Haven,CT
MillerKnoll,927,2465.1,Household Products,Zeeland,MI
Equity Residential,928,2464,Financials,Chicago,IL
Deckers Outdoor,918,2545.6,Apparel,Goleta,CA
Griffon,919,2541.7,Materials,New York,NY
Curtiss-Wright,921,2505.9,Industrials,Davidson,NC
MYR Group,922,2498.3,Engineering & Construction,Henderson,CO
ManTech International,915,2554,Technology,Herndon,VA
BrightView Holdings,916,2553.6,Business Services,Blue Bell,PA
NortonLifeLock,917,2552,Technology,Tempe,AZ
F5,908,2603.4,Technology,Seattle,WA
Steelcase,909,2596.2,Household Products,Grand Rapids,MI
Guess,911,2591.6,Retailing,Los Angeles,CA
Playtika Holding,912,2583,Media,Henderson,NV
Maxim Integrated Products,903,2632.5,Technology,San Jose,CA
Ensign Group,904,2627.5,Health Care,San Juan Capistrano,CA
Federated Mutual Insurance,907,2612.2,Financials,Owatonna,MN
MRC Global,901,2666,Energy,Houston,TX
Stericycle,902,2646.9,Business Services,Bannockburn,IL
Copart,898,2692.5,Retailing,Dallas,TX
PROG Holdings,899,2677.9,Financials,Draper,UT
Splunk,900,2673.7,Technology,San Francisco,CA
Americold Realty Trust,893,2714.8,Financials,Atlanta,GA
SkyWest,894,2713.5,Transportation,St. George,UT
Primerica,895,2709.7,Financials,Duluth,GA
McAfee,896,2701,Technology,San Jose,CA
Nu Skin Enterprises,897,2695.7,Household Products,Provo,UT
IDEX,887,2764.8,Industrials,Northbrook,IL
Popular,888,2764.8,Financials,Hato Rey,PR
Roku,889,2764.6,Media,San Jose,CA
Schnitzer Steel Industries,890,2758.6,Materials,Portland,OR
Brookdale Senior Living,891,2758.3,Health Care,Brentwood,TN
Werner Enterprises,892,2734.4,Transportation,Omaha,NE
FTI Consulting,882,2776.2,Business Services,Washington,DC
Overstock.com,883,2773.8,Retailing,Midvale,UT
Visteon,884,2773,Motor Vehicles & Parts,Van Buren Township,MI
G-III Apparel Group,885,2766.5,Apparel,New York,NY
ITT,886,2765,Industrials,White Plains,NY
Waters,877,2785.9,Technology,Milford,MA
Mutual of America Life Insurance,878,2784.8,Financials,New York,NY
Hovnanian Enterprises,879,2782.9,Engineering & Construction,Matawan,NJ
Amica Mutual Insurance,880,2777.9,Financials,Lincoln,RI
Caleres,881,2777.6,Retailing,St. Louis,MO
Cracker Barrel Old Country Store,871,2821.4,"Hotels, Restaurants & Leisure",Lebanon,TN
Virtu Financial,872,2811.5,Financials,New York,NY
Teleflex,873,2809.6,Health Care,Wayne,PA
Zynga,874,2800.5,Media,San Francisco,CA
ATI,875,2799.8,Materials,Pittsburgh,PA
Twilio,865,2841.8,Technology,San Francisco,CA
Univision Communciations,866,2841,Media,New York,NY
Fleetcor Technologies,868,2833.7,Business Services,Atlanta,GA
West Pharmaceutical Services,869,2831.6,Health Care,Exton,PA
