DATE,IRLTLT01USQ156N
2010-10-01,2.86333333333333
2011-01-01,3.46
2011-04-01,3.21
2011-07-01,2.42666666666667
2011-10-01,2.04666666666667
2012-01-01,2.03666666666667
2012-04-01,1.82333333333333
2012-07-01,1.64333333333333
2012-10-01,1.70666666666667
2013-01-01,1.95
2013-04-01,1.99666666666667
2013-07-01,2.71
2013-10-01,2.74666666666667
2014-01-01,2.76333333333333
2014-04-01,2.62333333333333
2014-07-01,2.49666666666667
2014-10-01,2.28
2015-01-01,1.96666666666667
2015-04-01,2.16666666666667
2015-07-01,2.22
2015-10-01,2.19
2016-01-01,1.92
2016-04-01,1.75333333333333
2016-07-01,1.56333333333333
2016-10-01,2.13
2017-01-01,2.44333333333333
2017-04-01,2.26333333333333
2017-07-01,2.24333333333333
2017-10-01,2.37
2018-01-01,2.76
2018-04-01,2.92
2018-07-01,2.92666666666667
2018-10-01,3.03333333333333
2019-01-01,2.65333333333333
2019-04-01,2.33333333333333
2019-07-01,1.79666666666667
2019-10-01,1.79333333333333
2020-01-01,1.37666666666667
2020-04-01,0.686666666666667
2020-07-01,0.65
2020-10-01,0.863333333333334
2021-01-01,1.31666666666667
2021-04-01,1.59333333333333
2021-07-01,1.32333333333333
2021-10-01,1.53666666666667
2022-01-01,1.94
2022-04-01,2.93
