0,1,2,3,4,5
"{'key': 'rank', 'value': '993'}","{'key': 'revenues', 'value': '1736.60'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Riverside'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Fleetwood Enterprises, Inc.'}"
"{'key': 'rank', 'value': '994'}","{'key': 'revenues', 'value': '1731.60'}","{'key': 'industry', 'value': 'Computer Software'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'BMC Software, Inc.'}"
"{'key': 'rank', 'value': '995'}","{'key': 'revenues', 'value': '1730.40'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqCity', 'value': 'Short Hills'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'The Dun & Bradstreet Corporation'}"
"{'key': 'rank', 'value': '996'}","{'key': 'revenues', 'value': '1729.00'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqCity', 'value': 'Naperville'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tellabs, Inc.'}"
"{'key': 'rank', 'value': '997'}","{'key': 'revenues', 'value': '1724.40'}","{'key': 'industry', 'value': 'Diversified Outsourcing Services'}","{'key': 'hqCity', 'value': 'Kingwood'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Administaff, Inc.'}"
"{'key': 'rank', 'value': '998'}","{'key': 'revenues', 'value': '1723.60'}","{'key': 'industry', 'value': 'Food Production'}","{'key': 'hqCity', 'value': 'Laurel'}","{'key': 'hqState', 'value': 'MS'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Sanderson Farms, Inc.'}"
"{'key': 'rank', 'value': '999'}","{'key': 'revenues', 'value': '1721.50'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqCity', 'value': 'Milwaukee'}","{'key': 'hqState', 'value': 'WI'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'MGIC Investment Corporation'}"
"{'key': 'rank', 'value': '1000'}","{'key': 'revenues', 'value': '1720.80'}","{'key': 'industry', 'value': 'Education'}","{'key': 'hqCity', 'value': 'Hoffman Estates'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Career Education Corporation'}"
"{'key': 'rank', 'value': '953'}","{'key': 'revenues', 'value': '1834.60'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Philadelphia'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Urban Outfitters, Inc.'}"
"{'key': 'rank', 'value': '954'}","{'key': 'revenues', 'value': '1833.10'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqCity', 'value': 'Fort Smith'}","{'key': 'hqState', 'value': 'AR'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Arkansas Best Corporation'}"
